Diode25
CV Measurement
Measurement started at 10:49:27.959 23/01/2019 by Cameron(Kostas) on epllt004.ph.bham.ac.uk.

5.79e11 1.e11
Hardness
ISO7

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4303081
C33   Mar 31 2015 09:32:39/A02  /J/M

WAYNE KERR
6530B
0
3.382

Wayne Kerr settings:
Function 1 - Resistance
Function 2 - Capacitance
Equivalent Circuit - Series
Measurement Frequency - 10000 Hz

Keithley Current Range: 1.05uA (Auto on)
Keithley Source Voltage Range: 1.1kV
Compliance Level: 30uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)	
10:49:27.959	0E+0	4.878505E-7 1.138454E+5	4.743383E-11
10:49:28.420	0E+0	4.875553E-7 1.138323E+5	4.725418E-11
10:49:28.883	0E+0	4.876755E-7 1.125969E+5	4.736217E-11
10:49:29.347	0E+0	4.87792E-7 1.131621E+5	4.743693E-11
10:49:29.811	0E+0	4.879229E-7 1.134992E+5	4.732896E-11
10:49:35.078	-1E+1	-3.416637E-8 1.8235E+4	1.941166E-11
10:49:35.541	-1E+1	-3.428243E-8 2.050387E+4	1.947742E-11
10:49:36.005	-1E+1	-3.438857E-8 1.791023E+4	1.948261E-11
10:49:36.469	-1E+1	-3.450655E-8 1.929649E+4	1.943805E-11
10:49:36.932	-1E+1	-3.433226E-8 2.208218E+4	1.930575E-11
10:49:42.200	-2E+1	-5.000349E-8 2.529039E+4	1.612542E-11
10:49:42.663	-2E+1	-4.982322E-8 2.483624E+4	1.596788E-11
10:49:43.126	-2E+1	-4.940969E-8 2.19188E+4	1.601083E-11
10:49:43.590	-2E+1	-4.880799E-8 1.920086E+4	1.601144E-11
10:49:44.054	-2E+1	-4.914595E-8 2.068338E+4	1.595395E-11
10:49:49.321	-3E+1	-6.074384E-8 2.066687E+4	1.448456E-11
10:49:49.785	-3E+1	-6.082401E-8 1.979075E+4	1.439699E-11
10:49:50.249	-3E+1	-6.155736E-8 3.093544E+4	1.439549E-11
10:49:50.712	-3E+1	-6.150623E-8 2.178987E+4	1.446485E-11
10:49:51.176	-3E+1	-6.097194E-8 1.697695E+4	1.441295E-11
10:49:56.442	-4E+1	-7.082757E-8 2.558553E+4	1.343133E-11
10:49:56.905	-4E+1	-7.071183E-8 2.292698E+4	1.346477E-11
10:49:57.369	-4E+1	-7.037639E-8 2.261805E+4	1.345889E-11
