Diode33
CV Measurement
Measurement started at 11:58:06.430 23/01/2019 by Cameron(Kostas) on epllt004.ph.bham.ac.uk.

4.74e12 7.6e11
Hardness
ISO7

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4303081
C33   Mar 31 2015 09:32:39/A02  /J/M

WAYNE KERR
6530B
0
3.382

Wayne Kerr settings:
Function 1 - Resistance
Function 2 - Capacitance
Equivalent Circuit - Series
Measurement Frequency - 10000 Hz

Keithley Current Range: 1.05uA (Auto on)
Keithley Source Voltage Range: 1.1kV
Compliance Level: 50uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)	
11:58:06.430	0E+0	4.430846E-7 1.873442E+5	5.52116E-11
11:58:06.890	0E+0	4.432158E-7 1.864661E+5	5.517512E-11
11:58:07.354	0E+0	4.427644E-7 1.86901E+5	5.524586E-11
11:58:07.818	0E+0	4.428852E-7 1.872616E+5	5.529566E-11
11:58:08.282	0E+0	4.433488E-7 1.875353E+5	5.543068E-11
11:58:13.551	-1E+1	-3.942933E-7 6.274138E+4	1.998009E-11
11:58:14.012	-1E+1	-3.944385E-7 6.181743E+4	1.990599E-11
11:58:14.476	-1E+1	-3.940587E-7 5.84754E+4	2.002262E-11
11:58:14.941	-1E+1	-3.942443E-7 6.252891E+4	1.997379E-11
11:58:15.405	-1E+1	-3.944932E-7 6.408474E+4	1.996193E-11
11:58:20.673	-2E+1	-5.482789E-7 5.785983E+4	1.659047E-11
11:58:21.135	-2E+1	-5.481917E-7 5.853271E+4	1.652671E-11
11:58:21.599	-2E+1	-5.484888E-7 5.700216E+4	1.654057E-11
11:58:22.063	-2E+1	-5.487469E-7 5.876702E+4	1.652383E-11
11:58:22.527	-2E+1	-5.485076E-7 6.03883E+4	1.654372E-11
11:58:27.795	-3E+1	-6.679084E-7 5.26664E+4	1.508059E-11
11:58:28.256	-3E+1	-6.681607E-7 4.896597E+4	1.507817E-11
11:58:28.720	-3E+1	-6.67687E-7 5.303805E+4	1.504228E-11
11:58:29.184	-3E+1	-6.675006E-7 5.340929E+4	1.504286E-11
11:58:29.648	-3E+1	-6.677604E-7 5.083275E+4	1.503775E-11
11:58:34.914	-4E+1	-7.667996E-7 5.273405E+4	1.430499E-11
11:58:35.378	-4E+1	-7.670691E-7 4.772419E+4	1.418071E-11
11:58:35.842	-4E+1	-7.671551E-7 5.196472E+4	1.433185E-11
11:58:36.306	-4E+1	-7.670476E-7 5.335402E+4	1.426932E-11
11:58:36.770	-4E+1	-7.666903E-7 5.500613E+4	1.419659E-11
11:58:42.044	-5E+1	-8.499279E-7 5.520426E+4	1.378768E-11
11:58:42.515	-5E+1	-8.495195E-7 5.26748E+4	1.367048E-11
11:58:42.979	-5E+1	-8.49663E-7 4.877657E+4	1.363172E-11
