Diode40
CV Measurement
Measurement started at 11:50:47.493 24/01/2019 by Cameron(Kostas) on epllt004.ph.bham.ac.uk.

2.49e12 4.e11
Hardness
ISO7

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4303081
C33   Mar 31 2015 09:32:39/A02  /J/M

WAYNE KERR
6530B
0
3.382

Wayne Kerr settings:
Function 1 - Resistance
Function 2 - Capacitance
Equivalent Circuit - Series
Measurement Frequency - 10000 Hz

Keithley Current Range: 105uA (Auto on)
Keithley Source Voltage Range: 1.1kV
Compliance Level: 30uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)	
11:50:47.493	0E+0	4.729483E-7 1.651101E+5	5.181138E-11
11:50:47.960	0E+0	4.725851E-7 1.650677E+5	5.171555E-11
11:50:48.424	0E+0	4.726054E-7 1.655346E+5	5.184513E-11
11:50:48.887	0E+0	4.726189E-7 1.6588E+5	5.182465E-11
11:50:49.352	0E+0	4.723685E-7 1.652447E+5	5.185443E-11
11:50:54.619	-1E+1	-2.241452E-7 4.162695E+4	2.012154E-11
11:50:55.082	-1E+1	-2.2442E-7 3.901439E+4	2.011863E-11
11:50:55.546	-1E+1	-2.242189E-7 4.001486E+4	2.009823E-11
11:50:56.010	-1E+1	-2.248095E-7 3.915185E+4	2.00682E-11
11:50:56.473	-1E+1	-2.248252E-7 4.007258E+4	2.005264E-11
11:51:01.742	-2E+1	-3.126371E-7 3.804913E+4	1.687325E-11
11:51:02.203	-2E+1	-3.132255E-7 3.675614E+4	1.690017E-11
11:51:02.667	-2E+1	-3.130439E-7 3.677378E+4	1.68626E-11
11:51:03.131	-2E+1	-3.130116E-7 3.629045E+4	1.686077E-11
11:51:03.594	-2E+1	-3.130348E-7 3.021914E+4	1.690735E-11
11:51:08.861	-3E+1	-3.828151E-7 3.927662E+4	1.536504E-11
11:51:09.324	-3E+1	-3.828298E-7 3.530467E+4	1.555185E-11
11:51:09.788	-3E+1	-3.82516E-7 3.303213E+4	1.553099E-11
11:51:10.253	-3E+1	-3.822824E-7 3.307785E+4	1.546962E-11
11:51:10.716	-3E+1	-3.82382E-7 3.096638E+4	1.541702E-11
11:51:15.983	-4E+1	-4.419908E-7 3.792385E+4	1.459504E-11
11:51:16.446	-4E+1	-4.420792E-7 3.235711E+4	1.459089E-11
11:51:16.909	-4E+1	-4.417413E-7 3.509768E+4	1.456514E-11
11:51:17.373	-4E+1	-4.413977E-7 3.183733E+4	1.459455E-11
11:51:17.838	-4E+1	-4.414854E-7 3.28785E+4	1.462078E-11
11:51:23.104	-5E+1	-4.934388E-7 3.695162E+4	1.401603E-11
11:51:23.567	-5E+1	-4.935602E-7 4.050511E+4	1.400735E-11
11:51:24.031	-5E+1	-4.93265E-7 3.4837E+4	1.400356E-11
11:51:24.496	-5E+1	-4.938692E-7 3.392072E+4	1.398035E-11
11:51:24.961	-5E+1	-4.937397E-7 3.07615E+4	1.401957E-11
11:51:30.227	-6E+1	-5.386978E-7 3.150933E+4	1.358254E-11
11:51:30.689	-6E+1	-5.385903E-7 3.622937E+4	1.34894E-11
11:51:31.153	-6E+1	-5.38664E-7 2.874031E+4	1.350514E-11
11:51:31.617	-6E+1	-5.383584E-7 3.393183E+4	1.356448E-11
11:51:32.081	-6E+1	-5.38827E-7 2.927446E+4	1.35777E-11
11:51:37.349	-7E+1	-5.74869E-7 3.553374E+4	1.314285E-11
11:51:37.811	-7E+1	-5.75548E-7 2.995451E+4	1.320782E-11
11:51:38.275	-7E+1	-5.74993E-7 3.224095E+4	1.321999E-11
11:51:38.739	-7E+1	-5.7518E-7 3.315558E+4	1.313041E-11
11:51:39.203	-7E+1	-5.759918E-7 3.285495E+4	1.315691E-11
11:51:44.470	-8E+1	-6.030408E-7 2.836126E+4	1.283633E-11
11:51:44.933	-8E+1	-6.031597E-7 3.104223E+4	1.285252E-11
11:51:45.397	-8E+1	-6.034846E-7 3.060015E+4	1.282598E-11
11:51:45.861	-8E+1	-6.031266E-7 2.697377E+4	1.295668E-11
11:51:46.325	-8E+1	-6.035864E-7 3.69913E+4	1.2885E-11
11:51:51.590	-9E+1	-6.236806E-7 2.914701E+4	1.269055E-11
11:51:52.054	-9E+1	-6.23579E-7 3.263457E+4	1.269862E-11
11:51:52.518	-9E+1	-6.238425E-7 3.305044E+4	1.267949E-11
11:51:52.982	-9E+1	-6.237041E-7 2.860043E+4	1.273325E-11
11:51:53.446	-9E+1	-6.236295E-7 2.957829E+4	1.269953E-11
11:51:58.713	-1E+2	-6.383351E-7 2.920924E+4	1.260346E-11
11:51:59.175	-1E+2	-6.386126E-7 2.658177E+4	1.253795E-11
11:51:59.640	-1E+2	-6.38466E-7 2.941301E+4	1.260137E-11
11:52:00.104	-1E+2	-6.387919E-7 2.548538E+4	1.257489E-11
11:52:00.568	-1E+2	-6.385469E-7 3.526443E+4	1.252599E-11
11:52:05.835	-1.1E+2	-6.505907E-7 2.613678E+4	1.25493E-11
11:52:06.296	-1.1E+2	-6.501381E-7 2.788423E+4	1.247065E-11
11:52:06.761	-1.1E+2	-6.506195E-7 2.722451E+4	1.254161E-11
11:52:07.225	-1.1E+2	-6.503282E-7 2.641328E+4	1.250022E-11
11:52:07.689	-1.1E+2	-6.503323E-7 2.844439E+4	1.254825E-11
11:52:12.957	-1.2E+2	-6.600894E-7 2.592378E+4	1.254026E-11
11:52:13.418	-1.2E+2	-6.598376E-7 2.496712E+4	1.245697E-11
11:52:13.882	-1.2E+2	-6.60311E-7 2.636973E+4	1.248009E-11
11:52:14.346	-1.2E+2	-6.602475E-7 2.990258E+4	1.240093E-11
11:52:14.810	-1.2E+2	-6.603818E-7 2.969631E+4	1.251233E-11
11:52:20.077	-1.3E+2	-6.694543E-7 2.569436E+4	1.244245E-11
11:52:20.540	-1.3E+2	-6.695078E-7 2.695422E+4	1.231482E-11
11:52:21.003	-1.3E+2	-6.69567E-7 2.212114E+4	1.240838E-11
11:52:21.468	-1.3E+2	-6.693236E-7 3.347705E+4	1.23933E-11
11:52:21.932	-1.3E+2	-6.692995E-7 2.813341E+4	1.242661E-11
11:52:27.200	-1.4E+2	-6.780267E-7 1.929941E+4	1.240266E-11
11:52:27.661	-1.4E+2	-6.779086E-7 2.522038E+4	1.242379E-11
11:52:28.125	-1.4E+2	-6.78539E-7 2.599286E+4	1.238316E-11
11:52:28.589	-1.4E+2	-6.78413E-7 2.697015E+4	1.237087E-11
11:52:29.053	-1.4E+2	-6.781235E-7 2.873277E+4	1.23251E-11
11:52:34.321	-1.5E+2	-6.866701E-7 2.50032E+4	1.238261E-11
11:52:34.783	-1.5E+2	-6.865893E-7 2.180161E+4	1.229781E-11
11:52:35.247	-1.5E+2	-6.869541E-7 2.496442E+4	1.234347E-11
11:52:35.711	-1.5E+2	-6.868061E-7 2.142378E+4	1.230555E-11
11:52:36.174	-1.5E+2	-6.867741E-7 3.156484E+4	1.235005E-11
11:52:41.442	-1.6E+2	-6.953837E-7 2.287617E+4	1.240235E-11
11:52:41.904	-1.6E+2	-6.9553E-7 2.864718E+4	1.225815E-11
11:52:42.368	-1.6E+2	-6.957415E-7 3.355432E+4	1.22886E-11
11:52:42.832	-1.6E+2	-6.961483E-7 2.627738E+4	1.232261E-11
11:52:43.296	-1.6E+2	-6.957532E-7 2.804948E+4	1.231003E-11
