Diode44
CV Measurement
Measurement started at 12:19:08.820 24/01/2019 by Cameron(Kostas) on epllt004.ph.bham.ac.uk.

1.e12 1.6e11
Hardness
ISO7

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4303081
C33   Mar 31 2015 09:32:39/A02  /J/M

WAYNE KERR
6530B
0
3.382

Wayne Kerr settings:
Function 1 - Resistance
Function 2 - Capacitance
Equivalent Circuit - Series
Measurement Frequency - 10000 Hz

Keithley Current Range: 105uA (Auto on)
Keithley Source Voltage Range: 1.1kV
Compliance Level: 30uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)	
12:19:08.820	0E+0	4.798778E-7 1.359742E+5	4.553046E-11
12:19:09.284	0E+0	4.796348E-7 1.373538E+5	4.49323E-11
12:19:09.747	0E+0	4.787979E-7 1.341759E+5	4.552142E-11
12:19:10.211	0E+0	4.795729E-7 1.345315E+5	4.556372E-11
12:19:10.675	0E+0	4.795886E-7 1.348348E+5	4.562224E-11
12:19:15.941	-1E+1	-6.691715E-8 2.199491E+4	1.907095E-11
12:19:16.405	-1E+1	-6.692596E-8 2.807692E+4	1.910545E-11
12:19:16.869	-1E+1	-6.645134E-8 2.361702E+4	1.910513E-11
12:19:17.333	-1E+1	-6.576617E-8 2.627816E+4	1.916095E-11
12:19:17.798	-1E+1	-6.625327E-8 2.301332E+4	1.910552E-11
12:19:23.064	-2E+1	-9.328936E-8 2.806177E+4	1.566467E-11
12:19:23.527	-2E+1	-9.353942E-8 2.456749E+4	1.565429E-11
12:19:23.992	-2E+1	-9.39075E-8 2.303158E+4	1.570122E-11
12:19:24.456	-2E+1	-9.45841E-8 2.466697E+4	1.571377E-11
12:19:24.920	-2E+1	-9.404886E-8 2.639492E+4	1.576076E-11
12:19:30.185	-3E+1	-1.156239E-7 2.821097E+4	1.410518E-11
12:19:30.649	-3E+1	-1.156454E-7 2.432939E+4	1.409726E-11
12:19:31.113	-3E+1	-1.152995E-7 2.525086E+4	1.414226E-11
12:19:31.577	-3E+1	-1.149678E-7 3.335674E+4	1.415472E-11
12:19:32.041	-3E+1	-1.15244E-7 2.10234E+4	1.415507E-11
12:19:37.306	-4E+1	-1.336767E-7 1.913835E+4	1.311888E-11
12:19:37.768	-4E+1	-1.338003E-7 1.833738E+4	1.311829E-11
12:19:38.232	-4E+1	-1.341418E-7 2.600914E+4	1.317055E-11
12:19:38.696	-4E+1	-1.343094E-7 1.914536E+4	1.318261E-11
12:19:39.161	-4E+1	-1.335165E-7 3.009345E+4	1.326283E-11
12:19:44.427	-5E+1	-1.508919E-7 1.878183E+4	1.250296E-11
12:19:44.890	-5E+1	-1.506628E-7 2.307769E+4	1.2501E-11
12:19:45.353	-5E+1	-1.505196E-7 2.761532E+4	1.244471E-11
12:19:45.818	-5E+1	-1.504714E-7 2.520991E+4	1.252513E-11
12:19:46.282	-5E+1	-1.509432E-7 3.155318E+4	1.239956E-11
