Diode48
CV Measurement
Measurement started at 12:44:42.025 24/01/2019 by Cameron(Kostas) on epllt004.ph.bham.ac.uk.

1.56e11 3.4e10
Hardness
ISO7

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4303081
C33   Mar 31 2015 09:32:39/A02  /J/M

WAYNE KERR
6530B
0
3.382

Wayne Kerr settings:
Function 1 - Resistance
Function 2 - Capacitance
Equivalent Circuit - Series
Measurement Frequency - 10000 Hz

Keithley Current Range: 105uA (Auto on)
Keithley Source Voltage Range: 1.1kV
Compliance Level: 30uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)	
12:44:42.025	0E+0	4.652733E-7 8.499357E+4	4.755638E-11
12:44:42.484	0E+0	4.648218E-7 8.486891E+4	4.756686E-11
12:44:42.947	0E+0	4.65344E-7 8.473631E+4	4.753118E-11
12:44:43.412	0E+0	4.655518E-7 8.346319E+4	4.753469E-11
12:44:43.876	0E+0	4.655233E-7 8.391369E+4	4.760616E-11
12:44:49.141	-1E+1	-1.250633E-8 8.285471E+3	2.089612E-11
12:44:49.603	-1E+1	-1.202379E-8 1.152957E+4	2.083517E-11
12:44:50.066	-1E+1	-1.212676E-8 9.548215E+3	2.087144E-11
12:44:50.530	-1E+1	-1.16539E-8 7.536353E+3	2.083082E-11
12:44:50.993	-1E+1	-1.195411E-8 1.066059E+4	2.084328E-11
12:44:56.268	-2E+1	-1.687851E-8 1.408192E+4	1.743612E-11
12:44:56.735	-2E+1	-1.737095E-8 9.035512E+3	1.740325E-11
12:44:57.199	-2E+1	-1.686616E-8 1.177441E+4	1.738091E-11
12:44:57.663	-2E+1	-1.676064E-8 9.992007E+3	1.738629E-11
12:44:58.127	-2E+1	-1.745657E-8 1.345714E+4	1.736528E-11
12:45:03.393	-3E+1	-2.081565E-8 1.847779E+4	1.590461E-11
12:45:03.854	-3E+1	-2.128939E-8 1.028574E+4	1.587142E-11
12:45:04.317	-3E+1	-2.105117E-8 1.343793E+4	1.582923E-11
12:45:04.779	-3E+1	-2.120007E-8 1.061025E+4	1.579546E-11
12:45:05.243	-3E+1	-2.110628E-8 1.453024E+4	1.583503E-11
12:45:10.509	-4E+1	-2.400376E-8 1.693093E+4	1.485506E-11
12:45:10.971	-4E+1	-2.467413E-8 1.378176E+4	1.491319E-11
12:45:11.435	-4E+1	-2.430153E-8 1.751131E+4	1.483376E-11
12:45:11.899	-4E+1	-2.469936E-8 1.667895E+4	1.484015E-11
12:45:12.363	-4E+1	-2.468458E-8 1.414738E+4	1.484566E-11
12:45:17.628	-5E+1	-2.760018E-8 1.860212E+4	1.417566E-11
12:45:18.090	-5E+1	-2.719728E-8 1.466317E+4	1.424006E-11
12:45:18.554	-5E+1	-2.797997E-8 1.575986E+4	1.420006E-11
12:45:19.019	-5E+1	-2.751699E-8 1.535433E+4	1.416954E-11
12:45:19.483	-5E+1	-2.734897E-8 1.520259E+4	1.417709E-11
12:45:24.755	-6E+1	-3.08219E-8 1.739895E+4	1.371304E-11
12:45:25.221	-6E+1	-3.091038E-8 1.879139E+4	1.374838E-11
12:45:25.685	-6E+1	-3.023747E-8 1.715174E+4	1.370325E-11
12:45:26.150	-6E+1	-3.040676E-8 1.845043E+4	1.370076E-11
12:45:26.612	-6E+1	-3.061484E-8 1.720641E+4	1.372435E-11
12:45:31.886	-7E+1	-3.342157E-8 2.08147E+4	1.33012E-11
12:45:32.353	-7E+1	-3.291639E-8 2.000976E+4	1.334594E-11
12:45:32.817	-7E+1	-3.294804E-8 1.561906E+4	1.334435E-11
12:45:33.281	-7E+1	-3.278685E-8 1.628649E+4	1.331004E-11
12:45:33.744	-7E+1	-3.302175E-8 1.701175E+4	1.33386E-11
12:45:39.018	-8E+1	-3.507852E-8 2.272047E+4	1.29935E-11
12:45:39.486	-8E+1	-3.520822E-8 1.857786E+4	1.299204E-11
12:45:39.949	-8E+1	-3.556208E-8 1.759703E+4	1.299213E-11
12:45:40.413	-8E+1	-3.493929E-8 2.073639E+4	1.299899E-11
12:45:40.877	-8E+1	-3.531037E-8 1.529037E+4	1.30567E-11
12:45:46.143	-9E+1	-3.73138E-8 2.281283E+4	1.271752E-11
12:45:46.604	-9E+1	-3.749911E-8 1.823149E+4	1.273921E-11
12:45:47.068	-9E+1	-3.701488E-8 2.210203E+4	1.274189E-11
12:45:47.531	-9E+1	-3.75928E-8 1.86989E+4	1.279016E-11
12:45:47.994	-9E+1	-3.743539E-8 1.520843E+4	1.275064E-11
12:45:53.260	-1E+2	-3.912619E-8 2.025082E+4	1.250896E-11
12:45:53.722	-1E+2	-3.928348E-8 2.358207E+4	1.2547E-11
12:45:54.186	-1E+2	-3.932694E-8 1.694567E+4	1.257483E-11
12:45:54.650	-1E+2	-3.932919E-8 2.73071E+4	1.254118E-11
12:45:55.113	-1E+2	-3.924002E-8 2.06569E+4	1.253768E-11
12:46:00.384	-1.1E+2	-4.116446E-8 1.723577E+4	1.241162E-11
12:46:00.851	-1.1E+2	-4.110951E-8 2.183549E+4	1.238418E-11
12:46:01.315	-1.1E+2	-4.096191E-8 1.97236E+4	1.2375E-11
12:46:01.778	-1.1E+2	-4.120978E-8 2.212158E+4	1.237894E-11
12:46:02.242	-1.1E+2	-4.062024E-8 1.826963E+4	1.243125E-11
12:46:07.508	-1.2E+2	-4.273452E-8 2.160646E+4	1.219044E-11
12:46:07.970	-1.2E+2	-4.23928E-8 3.047015E+4	1.22198E-11
12:46:08.434	-1.2E+2	-4.235095E-8 2.414976E+4	1.22559E-11
12:46:08.898	-1.2E+2	-4.194874E-8 2.007757E+4	1.223238E-11
12:46:09.362	-1.2E+2	-4.229834E-8 2.197727E+4	1.223983E-11
12:46:14.627	-1.3E+2	-4.315282E-8 2.623313E+4	1.216231E-11
12:46:15.088	-1.3E+2	-4.3022E-8 2.117688E+4	1.215017E-11
12:46:15.552	-1.3E+2	-4.322326E-8 2.707532E+4	1.217915E-11
12:46:16.016	-1.3E+2	-4.318811E-8 2.945426E+4	1.216657E-11
12:46:16.480	-1.3E+2	-4.309916E-8 1.565756E+4	1.219475E-11
12:46:21.746	-1.4E+2	-4.383746E-8 2.294241E+4	1.205787E-11
12:46:22.208	-1.4E+2	-4.428389E-8 2.284188E+4	1.20909E-11
