Diode Number	Fluence (p/cm^2)	eFluence (p/cm^2)	Max Depletion Voltage (V)
25	5.79e+11	1e+11	-103.75
26	5.79e+11	1e+11	-91.5292
27	1.66e+12	2.7e+11	-87.5699
28	1.66e+12	2.7e+11	-94.709
29	2.59e+12	4.2e+11	-85.4136
30	2.59e+12	4.2e+11	-89.7352
31	3.2e+12	5.2e+11	-76.5258
32	3.2e+12	5.2e+11	-90.0865
33	4.74e+12	7.6e+11	-66.3013
34	4.74e+12	7.6e+11	-70.1851
35	3.39e+12	5.5e+11	-86.0986
36	3.39e+12	5.5e+11	-82.5661
37	1.4e+13	2.2e+12	-40.3248
38	1.4e+13	2.2e+12	-42.9725
39	2.49e+12	4e+11	-83.8855
40	2.49e+12	4e+11	-82.3463
41	6.67e+11	1.1e+10	-100.462
42	6.67e+11	1.1e+10	-107.32
43	1e+12	1.6e+11	-101.438
44	1e+12	1.6e+11	-102.106
45	4.33e+11	7.6e+10	-100.943
46	4.33e+11	7.6e+10	-103.478
47	1.56e+11	3.4e+10	-111.031
48	1.56e+11	3.4e+10	-99.1325
