Diode48_22.9C
IV Measurement
Measurement started at 15:51:14.281 19/10/2018 by Cameron(Kostas) on epllt004.ph.bham.ac.uk.

IV run 19/10/2018
ATLAS
ISO5

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4363651
C34 Sep 21 2016 15:30:00/A02  /K/M

Keithley Current Range: 1.05uA (Auto on)
Keithley Source Voltage Range: 1.1kV
Compliance Level: 30uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)	
15:51:14.281	0E+0	-8.675463E-10
15:51:14.657	0E+0	-1.070825E-9
15:51:15.041	0E+0	-8.858462E-10
15:51:15.416	0E+0	-9.050115E-10
15:51:15.785	0E+0	-1.005867E-9
15:51:16.163	-5E+0	-8.943317E-9
15:51:16.544	-5E+0	-8.954416E-9
15:51:16.928	-5E+0	-9.118385E-9
15:51:17.312	-5E+0	-8.917572E-9
15:51:17.696	-5E+0	-8.809094E-9
15:51:18.082	-1E+1	-1.264441E-8
15:51:18.463	-1E+1	-1.261738E-8
15:51:18.847	-1E+1	-1.23997E-8
15:51:19.231	-1E+1	-1.242046E-8
15:51:19.615	-1E+1	-1.259067E-8
15:51:20.002	-1.5E+1	-1.52866E-8
15:51:20.382	-1.5E+1	-1.517505E-8
15:51:20.757	-1.5E+1	-1.524721E-8
15:51:21.134	-1.5E+1	-1.537809E-8
15:51:21.518	-1.5E+1	-1.529463E-8
15:51:21.904	-2E+1	-1.762348E-8
15:51:22.284	-2E+1	-1.778536E-8
15:51:22.660	-2E+1	-1.752248E-8
15:51:23.037	-2E+1	-1.751433E-8
15:51:23.420	-2E+1	-1.772719E-8
15:51:23.806	-2.5E+1	-1.971526E-8
15:51:24.187	-2.5E+1	-1.977625E-8
15:51:24.571	-2.5E+1	-1.98209E-8
15:51:24.955	-2.5E+1	-1.958226E-8
15:51:25.330	-2.5E+1	-1.979029E-8
15:51:25.710	-3E+1	-2.159001E-8
15:51:26.091	-3E+1	-2.153618E-8
15:51:26.474	-3E+1	-2.165748E-8
15:51:26.858	-3E+1	-2.165723E-8
15:51:27.233	-3E+1	-2.155006E-8
15:51:27.613	-3.5E+1	-2.343043E-8
15:51:27.994	-3.5E+1	-2.341672E-8
15:51:28.377	-3.5E+1	-2.342489E-8
15:51:28.760	-3.5E+1	-2.345799E-8
15:51:29.144	-3.5E+1	-2.328752E-8
15:51:29.531	-4E+1	-2.518223E-8
15:51:29.912	-4E+1	-2.50263E-8
15:51:30.296	-4E+1	-2.493782E-8
15:51:30.671	-4E+1	-2.516757E-8
15:51:31.047	-4E+1	-2.49802E-8
15:51:31.434	-4.5E+1	-2.66844E-8
