VdOffset /V	Grad	GradErr	Alpha	AlphaErr	Kappa	KappaErr
0	1.5437e-19	8.01684e-21	7.32738e-17	3.80531e-18	1.83644	0.0963656
1	1.54601e-19	8.07934e-21	7.33837e-17	3.83498e-18	1.83919	0.0971045
2	1.54893e-19	8.12781e-21	7.35224e-17	3.85798e-18	1.84267	0.0976789
3	1.54905e-19	8.18287e-21	7.35278e-17	3.88412e-18	1.8428	0.0983275
4	1.55148e-19	8.22659e-21	7.36434e-17	3.90487e-18	1.8457	0.0988454
5	1.55046e-19	8.32082e-21	7.35951e-17	3.9496e-18	1.84449	0.0999542
6	1.55264e-19	8.38612e-21	7.36983e-17	3.9806e-18	1.84707	0.100726
7	1.55517e-19	8.43481e-21	7.38184e-17	4.00371e-18	1.85009	0.101303
8	1.55563e-19	8.4902e-21	7.38402e-17	4.03e-18	1.85063	0.101956
9	1.55807e-19	8.53484e-21	7.39562e-17	4.05119e-18	1.85354	0.102485
10	1.55807e-19	8.63393e-21	7.39559e-17	4.09822e-18	1.85353	0.103654
11	1.55999e-19	8.69977e-21	7.40472e-17	4.12948e-18	1.85582	0.104432
12	1.56221e-19	8.74864e-21	7.41526e-17	4.15267e-18	1.85846	0.105011
13	1.56274e-19	8.80508e-21	7.4178e-17	4.17946e-18	1.8591	0.105677
14	1.56516e-19	8.85005e-21	7.42927e-17	4.20081e-18	1.86197	0.10621
15	1.56587e-19	8.95253e-21	7.43261e-17	4.24945e-18	1.86281	0.10742
16	1.56773e-19	9.02048e-21	7.44148e-17	4.2817e-18	1.86503	0.108223
17	1.56973e-19	9.06982e-21	7.45094e-17	4.30512e-18	1.8674	0.108808
18	1.57027e-19	9.12731e-21	7.45351e-17	4.33241e-18	1.86805	0.109486
19	1.57271e-19	9.17324e-21	7.46512e-17	4.35421e-18	1.87096	0.110031
20	1.57395e-19	9.27909e-21	7.47096e-17	4.40446e-18	1.87242	0.111281
21	1.57565e-19	9.34681e-21	7.47905e-17	4.4366e-18	1.87445	0.112083
22	1.57744e-19	9.39638e-21	7.48757e-17	4.46013e-18	1.87658	0.11267
23	1.57802e-19	9.45455e-21	7.49032e-17	4.48774e-18	1.87727	0.113357
24	1.58045e-19	9.50135e-21	7.50185e-17	4.50996e-18	1.88016	0.113912
25	1.58206e-19	9.61019e-21	7.5095e-17	4.56162e-18	1.88208	0.115199
26	1.58377e-19	9.68016e-21	7.51762e-17	4.59483e-18	1.88411	0.116027
27	1.58548e-19	9.73088e-21	7.52573e-17	4.61891e-18	1.88615	0.116628
28	1.58609e-19	9.78997e-21	7.52861e-17	4.64695e-18	1.88687	0.117326
29	1.58856e-19	9.83814e-21	7.54034e-17	4.66982e-18	1.88981	0.117897
30	1.59042e-19	9.949e-21	7.54917e-17	4.72244e-18	1.89202	0.119209
31	1.59218e-19	1.00207e-20	7.55753e-17	4.75647e-18	1.89412	0.120057
32	1.59387e-19	1.00733e-20	7.56554e-17	4.78145e-18	1.89613	0.120681
33	1.59453e-19	1.01333e-20	7.56869e-17	4.80994e-18	1.89692	0.121391
34	1.59707e-19	1.01824e-20	7.58073e-17	4.83323e-18	1.89993	0.121973
35	1.59921e-19	1.02966e-20	7.59089e-17	4.88744e-18	1.90248	0.123325
36	1.60102e-19	1.03693e-20	7.59946e-17	4.92194e-18	1.90463	0.124185
37	1.60273e-19	1.04245e-20	7.6076e-17	4.94817e-18	1.90667	0.12484
38	1.60348e-19	1.0486e-20	7.61114e-17	4.97731e-18	1.90755	0.125567
39	1.60615e-19	1.05369e-20	7.62385e-17	5.00151e-18	1.91074	0.126172
40	1.60852e-19	1.06533e-20	7.63506e-17	5.05675e-18	1.91355	0.12755
41	1.6104e-19	1.07273e-20	7.644e-17	5.09188e-18	1.91579	0.128426
42	1.61218e-19	1.07871e-20	7.65245e-17	5.12027e-18	1.91791	0.129135
43	1.61304e-19	1.08502e-20	7.65652e-17	5.15021e-18	1.91893	0.129882
44	1.61591e-19	1.09039e-20	7.67017e-17	5.17568e-18	1.92235	0.130519
45	1.61856e-19	1.10241e-20	7.68276e-17	5.23277e-18	1.9255	0.131944
46	1.62059e-19	1.11003e-20	7.69236e-17	5.26892e-18	1.92791	0.132846
47	1.62242e-19	1.11662e-20	7.70107e-17	5.30019e-18	1.93009	0.133627
48	1.62342e-19	1.12306e-20	7.70583e-17	5.33076e-18	1.93128	0.13439
49	1.62659e-19	1.12886e-20	7.72087e-17	5.35831e-18	1.93505	0.135079
50	1.6296e-19	1.14124e-20	7.73514e-17	5.41706e-18	1.93863	0.136546
51	1.6318e-19	1.14911e-20	7.74557e-17	5.45444e-18	1.94125	0.13748
52	1.63369e-19	1.15639e-20	7.75455e-17	5.48896e-18	1.9435	0.138342
53	1.63488e-19	1.163e-20	7.76021e-17	5.52037e-18	1.94491	0.139126
54	1.63845e-19	1.16942e-20	7.77715e-17	5.55083e-18	1.94916	0.139888
55	1.64192e-19	1.18231e-20	7.79361e-17	5.61202e-18	1.95329	0.141417
56	1.64443e-19	1.19079e-20	7.80554e-17	5.65226e-18	1.95628	0.142422
57	1.64626e-19	1.19875e-20	7.81424e-17	5.69007e-18	1.95846	0.143366
58	1.64768e-19	1.20564e-20	7.82093e-17	5.72277e-18	1.96013	0.144183
59	1.65169e-19	1.21301e-20	7.83998e-17	5.75773e-18	1.96491	0.145058
60	1.65578e-19	1.22662e-20	7.85939e-17	5.82235e-18	1.96977	0.146673
61	1.65864e-19	1.23566e-20	7.87297e-17	5.86523e-18	1.97318	0.147745
62	1.66036e-19	1.24408e-20	7.88114e-17	5.90522e-18	1.97522	0.148744
63	1.66205e-19	1.25122e-20	7.88915e-17	5.93909e-18	1.97723	0.14959
64	1.66658e-19	1.2601e-20	7.91069e-17	5.98125e-18	1.98263	0.150645
65	1.6715e-19	1.27484e-20	7.93401e-17	6.05122e-18	1.98847	0.152395
66	1.67481e-19	1.28495e-20	7.94973e-17	6.0992e-18	1.99241	0.153594
67	1.67627e-19	1.29362e-20	7.95668e-17	6.14037e-18	1.99415	0.154623
68	1.67821e-19	1.30108e-20	7.96587e-17	6.17578e-18	1.99646	0.155508
69	1.68317e-19	1.31171e-20	7.98939e-17	6.2262e-18	2.00235	0.15677
70	1.68907e-19	1.32845e-20	8.0174e-17	6.30566e-18	2.00937	0.158757
71	1.69288e-19	1.34008e-20	8.03552e-17	6.36087e-18	2.01391	0.160138
72	1.69372e-19	1.34843e-20	8.03949e-17	6.40052e-18	2.01491	0.161128
73	1.69578e-19	1.35623e-20	8.04926e-17	6.43753e-18	2.01736	0.162053
74	1.70092e-19	1.36878e-20	8.07368e-17	6.49711e-18	2.02348	0.163544
75	1.70773e-19	1.38817e-20	8.106e-17	6.58915e-18	2.03158	0.165847
76	1.71176e-19	1.40096e-20	8.12514e-17	6.64986e-18	2.03638	0.167365
77	1.71219e-19	1.40909e-20	8.12716e-17	6.68847e-18	2.03688	0.168329
78	1.71443e-19	1.41742e-20	8.13782e-17	6.72798e-18	2.03955	0.169317
79	1.71902e-19	1.43147e-20	8.15959e-17	6.79468e-18	2.04501	0.170985
80	1.72664e-19	1.45265e-20	8.19575e-17	6.89522e-18	2.05407	0.173501
81	1.73072e-19	1.4666e-20	8.2151e-17	6.96141e-18	2.05892	0.175157
82	1.72998e-19	1.47408e-20	8.2116e-17	6.99693e-18	2.05804	0.176043
83	1.73214e-19	1.48299e-20	8.22188e-17	7.03923e-18	2.06062	0.177101
84	1.73578e-19	1.49795e-20	8.23911e-17	7.11025e-18	2.06494	0.178877
85	1.74408e-19	1.52265e-20	8.27854e-17	7.2275e-18	2.07482	0.181811
86	1.74824e-19	1.53779e-20	8.29827e-17	7.29935e-18	2.07977	0.183608
87	1.74547e-19	1.54508e-20	8.28515e-17	7.33397e-18	2.07648	0.184471
88	1.74695e-19	1.55462e-20	8.29216e-17	7.37926e-18	2.07824	0.185603
89	1.74808e-19	1.56948e-20	8.2975e-17	7.44978e-18	2.07957	0.187365
90	1.7563e-19	1.59703e-20	8.33655e-17	7.58052e-18	2.08936	0.190636
