Input	Vd /V	VdErr /V	VdEval /V	p1	p2	CGrad1	CGrad1Err	CGrad2	CGrad2Err	I_VdEval /A	I_VdEvalErr /A
Diode_A30_CV.txt	-108.453	3.44204	-108.453	-0.99715	-0.999823	-0.324289	0.00348744	-0.0611675	0.0139403	-2.11272e-10	4.81603e-10
Diode_B13_CV.txt	-109.805	2.80167	-109.805	-0.996837	-0.999887	-0.304018	0.00289142	-0.0574581	0.0100839	-2.21907e-10	9.01742e-10
Diode_A23_CV.txt	-107.291	2.5347	-107.291	-0.995365	-0.999875	-0.248978	0.00215265	-0.0397553	0.00786982	-1.94562e-10	5.63765e-10
Diode_A34_CV.txt	-107.601	3.51246	-107.601	-0.99663	-0.999827	-0.303049	0.00262555	-0.0539677	0.0139467	-1.87938e-10	7.11706e-10
Diode_B10_CV.txt	-113.268	2.69834	-113.268	-0.997863	-0.999859	-0.310883	0.00317137	-0.0524011	0.0105994	-2.09149e-10	9.26329e-10
Diode_A13_CV.txt	-108.976	2.09513	-108.976	-0.996612	-0.999863	-0.301692	0.00294177	-0.0452462	0.00900842	-1.67448e-10	3.42533e-10
Diode_A21_CV.txt	-106.435	2.84884	-106.435	-0.996829	-0.999945	-0.298664	0.00402206	-0.0277667	0.00934648	-1.855e-10	4.74698e-10
Diode_A28_CV.txt	-103.312	2.17539	-103.312	-0.995887	-0.999867	-0.288711	0.00228624	-0.0579803	0.00765756	-1.19604e-10	4.54033e-10
Diode_A22_CV.txt	-103.926	3.06373	-103.926	-0.996656	-0.999901	-0.298277	0.0033387	-0.058559	0.0112753	-1.79778e-10	4.73353e-10
Diode_B7_CV.txt	-102.738	2.65587	-102.738	-0.99658	-0.999932	-0.304446	0.00364951	-0.0447529	0.00954358	-2.28128e-10	8.13251e-10
Diode_A26_CV.txt	-101.515	4.79634	-101.515	-0.996442	-0.999876	-0.300689	0.00351131	-0.0563706	0.0165583	-1.68923e-10	7.27781e-10
Diode_A19_CV.txt	-103.899	3.49302	-103.899	-0.996746	-0.9999	-0.300541	0.00381602	-0.0652476	0.0118616	-1.71969e-10	6.9239e-10
Diode_A20_CV.txt	-104.879	3.48466	-104.879	-0.995247	-0.99988	-0.323212	0.00230286	-0.0406289	0.0151012	-2.37936e-10	4.72468e-10
Diode_A25_CV.txt	-106.714	3.22666	-106.714	-0.996243	-0.999841	-0.337004	0.00364433	-0.0748033	0.0124725	-2.02419e-10	1.57151e-09
Diode_B6_CV.txt	-110.948	3.72244	-110.948	-0.996264	-0.999917	-0.289122	0.00315749	-0.0455635	0.0126731	-2.28745e-10	9.05341e-10
Diode_B8_CV.txt	-108.053	2.6534	-108.053	-0.996142	-0.999862	-0.284155	0.00286866	-0.0391556	0.0105259	-2.03453e-10	7.61385e-10
Diode_B14_CV.txt	-111.665	3.04992	-111.665	-0.996835	-0.99985	-0.319241	0.00387633	-0.0599353	0.0103284	-2.0771e-10	7.1652e-10
Diode_A27_CV.txt	-112.42	5.65477	-112.42	-0.996865	-0.999904	-0.274805	0.00367602	-0.0382601	0.0193394	-2.88999e-10	6.74896e-10
Diode_A17_CV.txt	-98.8182	3.02383	-98.8182	-0.997197	-0.999838	-0.267855	0.0028084	-0.0591663	0.00828203	-2.07851e-10	6.10064e-10
Diode_B5_CV.txt	-98.4848	4.38467	-98.4848	-0.996447	-0.999899	-0.339568	0.0036578	-0.0879884	0.0157713	-2.41006e-10	7.41697e-10
Diode_B11_CV.txt	-100.288	2.96359	-100.288	-0.996658	-0.999922	-0.278994	0.00253715	-0.0579855	0.00973286	-2.07089e-10	7.40903e-10
Diode_A33_CV.txt	-99.0437	15.4889	-99.0437	-0.996827	-0.999907	-0.310372	0.0170352	-0.0773684	0.0456038	-1.8812e-10	4.42679e-10
Diode_B4_CV.txt	-103.81	3.68155	-103.81	-0.995927	-0.999864	-0.306698	0.00359291	-0.067081	0.0118553	-1.86764e-10	8.73684e-10
Diode_A35_CV.txt	-101.117	2.86093	-101.117	-0.994083	-0.999828	-0.294238	0.00210379	-0.0669231	0.0101879	-1.82655e-10	4.06068e-10
