Input	Vd /V	VdErr /V	VdEval /V	p1	p2	CGrad1	CGrad1Err	CGrad2	CGrad2Err	I_VdEval /A	I_VdEvalErr /A
Irrad_Diode_A30_CV.txt	-47.7164	1.29771	-47.7164	-0.995521	-0.999901	-0.758492	0.00370274	-0.146343	0.0137583	-2.27167e-06	1.65245e-07
Irrad_Diode_B13_CV.txt	-55.4581	1.00011	-55.4581	-0.996426	-0.999868	-0.711863	0.00256276	-0.127808	0.00893529	-2.33006e-06	2.02748e-07
Irrad_Diode_A23_CV.txt	-71.5428	4.61423	-71.5428	-0.996821	-0.999911	-0.306627	0.00402407	-0.0857026	0.0166096	-1.15184e-06	1.28866e-07
Irrad_Diode_A34_CV.txt	-70.3966	2.8651	-70.3966	-0.996406	-0.999899	-0.305376	0.00320306	-0.0817585	0.00852501	-9.85139e-07	1.08904e-07
Irrad_Diode_B10_CV.txt	-94.7993	2.84394	-94.7993	-0.996765	-0.999814	-0.311536	0.00288225	-0.0630953	0.01041	-4.52345e-07	6.46002e-08
Irrad_Diode_A13_CV.txt	-96.1282	3.65092	-96.1282	-0.997524	-0.999909	-0.298785	0.00419276	-0.0781211	0.0118094	-4.69322e-07	7.08333e-08
Irrad_Diode_A21_CV.txt	-111.241	3.18161	-111.241	-0.996912	-0.999877	-0.330822	0.0027905	-0.0466886	0.0130075	-1.33692e-07	2.31604e-08
Irrad_Diode_A28_CV.txt	-103.605	2.29287	-103.605	-0.997331	-0.999835	-0.288197	0.00252701	-0.0488083	0.0068039	-1.5502e-07	2.45441e-08
Irrad_Diode_A22_CV.txt	-105.862	4.09195	-105.862	-0.995525	-0.99991	-0.328172	0.00392586	-0.0589572	0.0147496	-8.56076e-08	1.42531e-08
Irrad_Diode_B7_CV.txt	-103.247	2.35185	-103.247	-0.996383	-0.999842	-0.321132	0.00195107	-0.0448558	0.00923996	-7.69916e-08	1.21597e-08
Irrad_Diode_A26_CV.txt	-99.9491	4.06976	-99.9491	-0.99594	-0.999925	-0.296906	0.00297288	-0.0508393	0.0136052	-3.69273e-08	5.61112e-09
Irrad_Diode_A19_CV.txt	-104.196	3.46986	-104.196	-0.997479	-0.999859	-0.309821	0.00346884	-0.0698803	0.0116017	-3.59471e-08	5.77262e-09
Irrad_Diode_A20_CV.txt	-103.145	0.893566	-103.145	-0.997572	-0.999848	-1.25623	0.00127574	-0.102177	0.0171985	-1.27724e-05	2.02065e-06
Irrad_Diode_A25_CV.txt	-92.1398	1.22104	-92.1398	-0.996857	-0.999896	-1.44298	0.00554493	-0.122586	0.0205658	-1.23995e-05	1.77174e-06
Irrad_Diode_B6_CV.txt	-49.7942	0.29716	-49.7942	-0.998354	-0.99969	-1.09602	0.00347527	-0.131353	0.00529067	-5.50515e-06	4.06562e-07
Irrad_Diode_B8_CV.txt	-60.3922	0.58561	-60.3922	-0.996636	-0.999783	-1.11861	0.00300322	-0.196571	0.00858041	-5.36907e-06	5.09783e-07
Irrad_Diode_B14_CV.txt	-85.4073	1.67509	-85.4073	-0.998176	-0.999681	-0.310402	0.00359097	-0.0976327	0.00542478	-1.24794e-06	1.6757e-07
Irrad_Diode_A27_CV.txt	-88.5828	2.62254	-88.5828	-0.997056	-0.999834	-0.325058	0.00344975	-0.0856512	0.00917288	-1.31673e-06	1.78105e-07
Irrad_Diode_A17_CV.txt	-75.4031	5.19125	-75.4031	-0.997297	-0.999893	-0.261006	0.00322825	-0.0719034	0.0133556	-6.8673e-07	8.20388e-08
Irrad_Diode_B5_CV.txt	-70.7373	2.96779	-70.7373	-0.994694	-0.999938	-0.323173	0.00312181	-0.103783	0.0104147	-6.3243e-07	7.02328e-08
Irrad_Diode_B11_CV.txt	-92.4433	4.27039	-92.4433	-0.996358	-0.99985	-0.298551	0.00328312	-0.078339	0.0129967	-2.2431e-07	3.21234e-08
Irrad_Diode_A33_CV.txt	-97.5527	4.49891	-97.5527	-0.997889	-0.999888	-0.319866	0.00415894	-0.0618288	0.0149533	-2.19282e-07	3.31742e-08
Irrad_Diode_B4_CV.txt	-104.859	4.46832	-104.859	-0.995831	-0.999877	-0.271093	0.00259961	-0.036359	0.0143161	-1.25423e-07	1.99414e-08
Irrad_Diode_A35_CV.txt	-105.486	4.19139	-105.486	-0.996781	-0.999918	-0.317657	0.00251686	-0.0812279	0.0141029	-1.23567e-07	2.04787e-08
