Fluence [p/cm^2]	Delta I [nA]	eFluence [p/cm^2]	eDelta I [nA]
1.63e+13	2.77043e-06	2.83e+12	1.45792e-09
1.63e+13	2.92759e-06	2.83e+12	2.90376e-09
7.47e+12	1.5232e-06	1.31e+12	1.07316e-08
7.47e+12	1.2904e-06	1.31e+12	8.7485e-10
3.31e+12	6.00237e-07	5.99e+11	2.05069e-09
3.31e+12	5.29356e-07	5.99e+11	1.44996e-09
1.09e+12	1.64266e-07	2.04e+11	5.14214e-10
1.09e+12	1.99477e-07	2.04e+11	9.72762e-10
5.76e+11	1.07093e-07	1.12e+11	7.5233e-10
5.76e+11	9.87626e-08	1.12e+11	4.55055e-10
2.96e+11	5.01879e-08	6.17e+10	5.21076e-10
2.96e+11	4.13548e-08	6.17e+10	3.46481e-10
6.63e+13	1.56115e-05	1.15e+13	9.55382e-09
6.63e+13	1.45899e-05	1.15e+13	1.17032e-08
3.52e+13	6.70193e-06	6.2e+12	2.86315e-09
3.52e+13	6.74172e-06	6.2e+12	2.52707e-09
8.8e+12	1.50932e-06	1.58e+12	9.84271e-10
8.8e+12	1.68313e-06	1.58e+12	4.52029e-09
5.12e+12	8.52809e-07	9.25e+11	2.89687e-09
5.12e+12	8.14111e-07	9.25e+11	6.78815e-10
1.39e+12	2.97587e-07	2.7e+11	1.96546e-09
1.39e+12	2.73879e-07	2.7e+11	2.01081e-09
7.78e+11	1.60315e-07	1.62e+11	5.98267e-10
7.78e+11	1.61094e-07	1.62e+11	7.53826e-10
