Diode 35 IV curve
Measurement Started at 15:27:57.776 26/02/2018 by Lydia(Kostas) on epllt004.ph.bham.ac.uk.

Diode 35 IV curve T = 23.4C
Atlas
BILPA

KEITHLEY INSTRUMENTS INC.
MODEL 2410
1381830
C32   Oct  4 2010 14:20:11/A02  /J/K

Measurement Current Range: 1.05uA (Auto on)
Source Voltage Range:1.1kV (Auto off)
Compliance Level: 5uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)
15:27:57.776	0	1.147014E-10
15:27:58.151	0	-1.261747E-10
15:27:58.519	0	7.815344E-11
15:27:58.887	0	-8.22635E-11
15:27:59.255	0	5.855672E-11
15:27:59.632	-5	-3.605745E-10
15:28:00.015	-5	-1.496602E-10
15:28:00.399	-5	-2.847842E-10
15:28:00.782	-5	-1.699619E-10
15:28:01.166	-5	-1.793893E-10
15:28:01.550	-10	-2.735789E-10
15:28:01.934	-10	-1.359741E-10
15:28:02.318	-10	-4.333051E-10
15:28:02.702	-10	-1.735178E-10
15:28:03.086	-10	-2.788303E-10
15:28:03.470	-15	-3.436221E-10
15:28:03.853	-15	-3.600786E-10
15:28:04.237	-15	-3.873679E-10
15:28:04.622	-15	-1.874106E-10
15:28:05.006	-15	-4.552195E-10
15:28:05.390	-20	-4.046926E-10
15:28:05.773	-20	-3.318375E-10
15:28:06.156	-20	-2.74282E-10
15:28:06.532	-20	-4.108535E-10
15:28:06.909	-20	-3.865404E-10
15:28:07.293	-25	-2.506725E-10
15:28:07.677	-25	-5.104596E-10
15:28:08.061	-25	-2.424856E-10
15:28:08.444	-25	-4.959464E-10
15:28:08.828	-25	-3.05417E-10
15:28:09.212	-30	-4.075868E-10
15:28:09.596	-30	-4.232989E-10
15:28:09.980	-30	-3.281992E-10
15:28:10.363	-30	-5.559012E-10
15:28:10.747	-30	-3.688023E-10
15:28:11.131	-35	-6.403324E-10
15:28:11.514	-35	-3.967117E-10
15:28:11.899	-35	-5.830664E-10
15:28:12.283	-35	-3.289024E-10
15:28:12.666	-35	-5.017346E-10
15:28:13.050	-40	-4.243739E-10
15:28:13.434	-40	-5.075244E-10
15:28:13.810	-40	-3.884016E-10
15:28:14.186	-40	-4.442209E-10
15:28:14.570	-40	-6.142007E-10
15:28:14.955	-45	-3.551578E-10
15:28:15.338	-45	-6.664234E-10
15:28:15.721	-45	-3.324581E-10
15:28:16.105	-45	-6.572436E-10
15:28:16.489	-45	-3.679342E-10
15:28:16.874	-50	-4.594774E-10
15:28:17.257	-50	-5.427936E-10
15:28:17.641	-50	-4.326847E-10
15:28:18.024	-50	-5.511046E-10
15:28:18.408	-50	-4.168073E-10
15:28:18.793	-55	-6.366926E-10
15:28:19.176	-55	-4.556743E-10
15:28:19.560	-55	-6.467421E-10
15:28:19.944	-55	-5.073172E-10
15:28:20.328	-55	-5.286528E-10
15:28:20.712	-60	-7.480009E-10
15:28:21.095	-60	-5.023143999999999E-10
15:28:21.479	-60	-6.676638E-10
15:28:21.864	-60	-4.441381E-10
15:28:22.248	-60	-6.457898E-10
15:28:22.632	-65	-6.801920999999999E-10
15:28:23.016	-65	-5.641703E-10
15:28:23.399	-65	-7.394432E-10
15:28:23.782	-65	-4.475701E-10
15:28:24.167	-65	-7.552795E-10
15:28:24.551	-70	-6.103141E-10
15:28:24.935	-70	-6.27184E-10
15:28:25.319	-70	-6.940846E-10
15:28:25.703	-70	-5.451096E-10
15:28:26.086	-70	-4.359098E-10
15:28:26.470	-75	-7.946007E-10
15:28:26.853	-75	-5.326632E-10
15:28:27.238	-75	-6.443023E-10
15:28:27.622	-75	-7.353502E-10
15:28:28.006	-75	-4.425258E-10
15:28:28.390	-80	-5.688428E-10
15:28:28.772	-80	-6.021276E-10
15:28:29.156	-80	-5.422147E-10
15:28:29.532	-80	-7.683456E-10
15:28:29.909	-80	-5.36509E-10
15:28:30.293	-85	-5.140163E-10
15:28:30.677	-85	-7.515994E-10
15:28:31.060	-85	-5.836865E-10
15:28:31.444	-85	-6.228842E-10
15:28:31.828	-85	-7.935673E-10
15:28:32.213	-90	-5.915838E-10
15:28:32.596	-90	-6.981372E-10
15:28:32.980	-90	-7.582565E-10
15:28:33.363	-90	-5.295618E-10
15:28:33.747	-90	-7.371271E-10
15:28:34.132	-95	-8.034072E-10
15:28:34.515	-95	-5.365087E-10
15:28:34.899	-95	-8.228827E-10
15:28:35.283	-95	-5.977449E-10
15:28:35.667	-95	-6.512486E-10
15:28:36.050	-100	-7.881507E-10
15:28:36.425	-100	-6.34379E-10
15:28:36.802	-100	-8.539337E-10
15:28:37.186	-100	-6.389675E-10
15:28:37.570	-100	-6.360732E-10
15:28:37.955	-105	-7.569327E-10
15:28:38.338	-105	-5.960488E-10
15:28:38.721	-105	-8.294972E-10
15:28:39.105	-105	-7.075634E-10
15:28:39.490	-105	-5.893092E-10
15:28:39.874	-110	-6.785791E-10
15:28:40.258	-110	-7.880684E-10
15:28:40.642	-110	-5.490372E-10
15:28:41.025	-110	-8.026628E-10
15:28:41.409	-110	-7.253436E-10
15:28:41.793	-115	-6.766351E-10
15:28:42.177	-115	-7.937314E-10
15:28:42.561	-115	-8.212277E-10
15:28:42.945	-115	-5.503183E-10
15:28:43.328	-115	-8.619562E-10
15:28:43.712	-120	-8.016294E-10
15:28:44.096	-120	-6.787452E-10
15:28:44.480	-120	-8.33467E-10
15:28:44.864	-120	-7.415096E-10
15:28:45.247	-120	-5.965454E-10
15:28:45.631	-125	-9.410122999999999E-10
15:28:46.014	-125	-6.170534E-10
15:28:46.398	-125	-8.766334E-10
15:28:46.783	-125	-8.414052E-10
15:28:47.167	-125	-6.756843E-10
15:28:47.551	-130	-5.997701E-10
15:28:47.933	-130	-9.028076E-10
15:28:48.318	-130	-6.752297E-10
15:28:48.701	-130	-8.492208E-10
15:28:49.078	-130	-8.434312E-10
15:28:49.455	-135	-8.169695E-10
15:28:49.838	-135	-7.27947E-10
15:28:50.222	-135	-9.176918E-10
15:28:50.605	-135	-7.085969E-10
15:28:50.989	-135	-7.459758E-10
15:28:51.373	-140	-9.779776E-10
15:28:51.757	-140	-6.914375E-10
15:28:52.141	-140	-7.266249E-10
15:28:52.525	-140	-8.878795E-10
15:28:52.908	-140	-7.382436E-10
15:28:53.292	-145	-6.694829E-10
15:28:53.675	-145	-9.265395E-10
15:28:54.060	-145	-6.593928E-10
15:28:54.444	-145	-7.507713E-10
15:28:54.828	-145	-9.272007E-10
15:28:55.213	-150	-9.695826999999999E-10
15:28:55.596	-150	-7.437843E-10
15:28:55.979	-150	-9.600322999999999E-10
15:28:56.363	-150	-7.692129E-10
15:28:56.746	-150	-8.716716E-10
15:28:57.132	-155	-1.042727E-9
15:28:57.516	-155	-7.611076E-10
15:28:57.899	-155	-8.839532999999999E-10
15:28:58.282	-155	-8.907327E-10
15:28:58.666	-155	-7.65036E-10
15:28:59.051	-160	-9.151286E-10
15:28:59.435	-160	-1.056743E-9
15:28:59.819	-160	-7.784329E-10
15:29:00.203	-160	-8.434723E-10
15:29:00.586	-160	-9.711130999999999E-10
15:29:00.969	-165	-9.016508E-10
15:29:01.345	-165	-9.077269E-10
15:29:01.722	-165	-1.074358E-9
15:29:02.106	-165	-8.987124E-10
15:29:02.490	-165	-7.889354E-10
15:29:02.874	-170	-9.354296E-10
15:29:03.256	-170	-8.809343E-10
15:29:03.640	-170	-8.973902E-10
15:29:04.024	-170	-1.052445E-9
15:29:04.409	-170	-1.027966E-9
15:29:04.793	-175	-9.449402999999999E-10
15:29:05.176	-175	-1.076424E-9
15:29:05.560	-175	-1.101482E-9
15:29:05.944	-175	-8.798173E-10
15:29:06.327	-175	-1.181448E-9
15:29:06.712	-180	-1.31194E-9
15:29:07.096	-180	-1.248885E-9
15:29:07.480	-180	-1.050128E-9
15:29:07.863	-180	-1.29346E-9
15:29:08.247	-180	-1.113472E-9
15:29:08.631	-185	-1.545638E-9
15:29:09.014	-185	-1.670466E-9
15:29:09.398	-185	-1.49689E-9
15:29:09.782	-185	-1.594676E-9
15:29:10.166	-185	-1.659384E-9
15:29:10.550	-190	-2.698036E-9
15:29:10.933	-190	-2.525289E-9
15:29:11.309	-190	-2.706843E-9
