Diode 48 IV curve
Measurement Started at 11:53:12.288 28/02/2018 by Lydia(Kostas) on epllt004.ph.bham.ac.uk.

Diode 48 IV curve T = 23.4
Atlas
BILPA

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4302379
C33   Mar 31 2015 09:32:39/A02  /J/M

Measurement Current Range: 1.05uA (Auto on)
Source Voltage Range:1.1kV (Auto off)
Compliance Level: 5uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)
11:53:12.288	0	-6.754308E-10
11:53:12.656	0	-9.324283E-11
11:53:13.024	0	-1.487982E-10
11:53:13.392	0	-1.688262E-10
11:53:13.760	0	1.371574E-10
11:53:14.136	-5	-5.484473E-10
11:53:14.519	-5	-3.369466E-10
11:53:14.903	-5	-1.251135E-10
11:53:15.287	-5	-4.412813E-11
11:53:15.671	-5	-5.543024E-11
11:53:16.055	-10	-6.107938E-12
11:53:16.439	-10	-9.020951000000001E-11
11:53:16.823	-10	-1.965387E-11
11:53:17.207	-10	-4.300622E-11
11:53:17.591	-10	-4.072091E-11
11:53:17.975	-15	-1.994087E-10
11:53:18.359	-15	-1.074121E-10
11:53:18.742	-15	-2.912383E-10
11:53:19.126	-15	-1.743529E-10
11:53:19.510	-15	-2.985525E-10
11:53:19.894	-20	-1.82788E-10
11:53:20.278	-20	-1.30349E-10
11:53:20.661	-20	-7.928141E-11
11:53:21.044	-20	-4.857422E-11
11:53:21.420	-20	-8.077718E-11
11:53:21.797	-25	-2.51848E-10
11:53:22.181	-25	-2.652275E-10
11:53:22.564	-25	-2.855472E-10
11:53:22.947	-25	-2.674297E-10
11:53:23.331	-25	-2.391329E-10
11:53:23.716	-30	-9.847863E-11
11:53:24.100	-30	-6.822853E-11
11:53:24.484	-30	-4.308933E-11
11:53:24.868	-30	-2.371796E-10
11:53:25.251	-30	-1.985362E-10
11:53:25.635	-35	-3.249795E-10
11:53:26.019	-35	-2.886213E-10
11:53:26.403	-35	-2.701722E-10
11:53:26.787	-35	-1.708628E-10
11:53:27.171	-35	-8.651120999999999E-11
11:53:27.554	-40	-1.684112E-10
11:53:27.930	-40	-1.488813E-10
11:53:28.306	-40	-1.130632E-10
11:53:28.690	-40	-1.169692E-10
11:53:29.074	-40	-2.160295E-10
11:53:29.459	-45	-2.997163E-10
11:53:29.841	-45	-3.250618E-10
11:53:30.225	-45	-2.831365E-10
11:53:30.609	-45	-3.030394E-10
11:53:30.993	-45	-1.823308E-10
11:53:31.378	-50	-1.07329E-10
11:53:31.761	-50	-1.578984E-10
11:53:32.144	-50	-9.386607E-11
11:53:32.528	-50	-1.769701E-10
11:53:32.904	-50	-1.244901E-10
11:53:33.281	-55	-3.301321E-10
11:53:33.665	-55	-2.967239E-10
11:53:34.048	-55	-3.054505E-10
11:53:34.431	-55	-3.186219E-10
11:53:34.815	-55	-3.112672E-10
11:53:35.200	-60	-2.903249E-10
11:53:35.584	-60	-1.710286E-10
11:53:35.968	-60	-1.291024E-10
11:53:36.352	-60	-1.369973E-10
11:53:36.735	-60	-2.965163E-10
11:53:37.119	-65	-3.208243E-10
11:53:37.503	-65	-3.529025E-10
11:53:37.887	-65	-2.958926E-10
11:53:38.271	-65	-1.047527E-10
11:53:38.654	-65	-1.12523E-10
11:53:39.038	-70	-1.936332E-10
11:53:39.421	-70	-3.168767E-10
11:53:39.805	-70	-3.394811E-10
11:53:40.189	-70	-2.639807E-10
11:53:40.574	-70	-1.207919E-10
11:53:40.958	-75	-2.961004E-10
11:53:41.340	-75	-2.137027E-10
11:53:41.724	-75	-1.877742E-10
11:53:42.108	-75	-3.539415E-10
11:53:42.492	-75	-2.436617E-10
11:53:42.877	-80	-1.877741E-10
11:53:43.261	-80	-3.630415E-10
11:53:43.644	-80	-3.385669E-10
11:53:44.028	-80	-1.353766E-10
11:53:44.403	-80	-1.555297E-10
11:53:44.780	-85	-2.415842E-10
11:53:45.164	-85	-3.669473E-10
11:53:45.548	-85	-3.651604E-10
11:53:45.932	-85	-2.354757E-10
11:53:46.315	-85	-2.30157E-10
11:53:46.699	-90	-1.824139E-10
11:53:47.082	-90	-3.02624E-10
11:53:47.459	-90	-3.514067E-10
11:53:47.835	-90	-2.979292E-10
11:53:48.219	-90	-1.533688E-10
11:53:48.603	-95	-2.276224E-10
11:53:48.986	-95	-3.057824E-10
11:53:49.370	-95	-3.438858E-10
11:53:49.754	-95	-3.926268E-10
11:53:50.138	-95	-2.281628E-10
11:53:50.523	-100	-1.7776E-10
11:53:50.906	-100	-2.087164E-10
11:53:51.289	-100	-1.937991E-10
11:53:51.665	-100	-3.258521E-10
11:53:52.042	-100	-4.000637E-10
11:53:52.426	-105	-2.218886E-10
11:53:52.810	-105	-2.063897E-10
11:53:53.193	-105	-2.11999E-10
11:53:53.577	-105	-3.578061E-10
11:53:53.961	-105	-3.861859E-10
11:53:54.345	-110	-2.167772E-10
11:53:54.728	-110	-2.465289E-10
11:53:55.112	-110	-3.500353E-10
11:53:55.496	-110	-4.157293E-10
11:53:55.879	-110	-3.725152E-10
11:53:56.263	-115	-1.838267E-10
11:53:56.647	-115	-2.127884E-10
11:53:57.032	-115	-3.565591E-10
11:53:57.416	-115	-4.085409E-10
11:53:57.799	-115	-3.011283E-10
11:53:58.182	-120	-2.175669E-10
11:53:58.566	-120	-2.663079E-10
11:53:58.950	-120	-3.967819E-10
11:53:59.334	-120	-3.458387E-10
11:53:59.719	-120	-2.953112E-10
11:54:00.103	-125	-4.397049E-10
11:54:00.486	-125	-4.394975E-10
11:54:00.862	-125	-3.795791E-10
11:54:01.238	-125	-1.998242E-10
11:54:01.622	-125	-3.475007E-10
11:54:02.007	-130	-4.913547E-10
11:54:02.390	-130	-4.503424E-10
11:54:02.773	-130	-4.588606E-10
11:54:03.157	-130	-2.233428E-10
11:54:03.541	-130	-3.494121E-10
11:54:03.926	-135	-4.66257E-10
11:54:04.309	-135	-4.471011E-10
11:54:04.693	-135	-3.23068E-10
11:54:05.076	-135	-2.67014E-10
11:54:05.460	-135	-2.889122E-10
11:54:05.844	-140	-4.549965E-10
11:54:06.228	-140	-5.229343E-10
11:54:06.612	-140	-3.556039E-10
11:54:06.996	-140	-2.457811E-10
11:54:07.380	-140	-3.292592E-10
11:54:07.763	-145	-4.121554E-10
11:54:08.147	-145	-4.005214E-10
11:54:08.531	-145	-4.409518E-10
11:54:08.915	-145	-5.414662999999999E-10
11:54:09.299	-145	-4.478495E-10
11:54:09.684	-150	-5.0087E-10
11:54:10.067	-150	-5.39472E-10
11:54:10.450	-150	-5.4637E-10
11:54:10.834	-150	-5.474086E-10
11:54:11.218	-150	-4.167686E-10
11:54:11.602	-155	-3.787896E-10
11:54:11.986	-155	-4.798021E-10
11:54:12.369	-155	-5.589597E-10
11:54:12.753	-155	-5.214384E-10
11:54:13.137	-155	-4.769355E-10
11:54:13.521	-160	-4.554947E-10
11:54:13.905	-160	-5.174907E-10
11:54:14.289	-160	-6.091141E-10
11:54:14.673	-160	-6.561091E-10
11:54:15.056	-160	-5.511893999999999E-10
11:54:15.440	-165	-5.545135E-10
11:54:15.824	-165	-5.422967E-10
11:54:16.208	-165	-5.727968E-10
11:54:16.592	-165	-7.045172E-10
11:54:16.976	-165	-7.561247E-10
11:54:17.360	-170	-7.533407E-10
11:54:17.743	-170	-7.725786E-10
11:54:18.127	-170	-7.302386E-10
11:54:18.511	-170	-9.539555999999999E-10
11:54:18.895	-170	-9.625145E-10
11:54:19.280	-175	-1.272785E-9
11:54:19.663	-175	-1.355307E-9
11:54:20.046	-175	-1.43721E-9
11:54:20.430	-175	-1.491017E-9
11:54:20.814	-175	-1.338188E-9
11:54:21.199	-180	-2.769371E-9
11:54:21.582	-180	-2.902379E-9
11:54:21.966	-180	-2.928809E-9
11:54:22.350	-180	-2.895565E-9
11:54:22.734	-180	-2.834441E-9
11:54:23.118	-185	-7.040231E-9
11:54:23.501	-185	-7.056064E-9
11:54:23.885	-185	-7.14486E-9
11:54:24.269	-185	-7.232118E-9
11:54:24.653	-185	-7.236767E-9
11:54:25.038	-190	-1.897547E-8
11:54:25.421	-190	-1.890791E-8
11:54:25.805	-190	-1.893648E-8
11:54:26.189	-190	-1.909054E-8
11:54:26.573	-190	-1.868581E-8
11:54:26.957	-195	-4.843917E-8
11:54:27.341	-195	-4.788242E-8
11:54:27.725	-195	-4.774551E-8
11:54:28.108	-195	-4.795992E-8
11:54:28.492	-195	-4.794066E-8
11:54:28.876	-200	-1.036499E-7
11:54:29.260	-200	-1.038861E-7
11:54:29.643	-200	-1.038404E-7
11:54:30.027	-200	-1.039589E-7
11:54:30.410	-200	-1.039218E-7
11:54:30.794	-205	-1.894734E-7
11:54:31.178	-205	-1.891204E-7
11:54:31.562	-205	-1.890224E-7
11:54:31.946	-205	-1.888133E-7
11:54:32.329	-205	-1.887831E-7
11:54:32.713	-210	-2.952134E-7
11:54:33.097	-210	-2.951546E-7
11:54:33.481	-210	-2.94946E-7
11:54:33.865	-210	-2.946477E-7
11:54:34.249	-210	-2.94602E-7
