Fluence [p/cm^2]	Delta I [nA]	eFluence [p/cm^2]	eDelta I [nA]
5.78681e+11	106.096	9.95174e+10	5.30592
5.78681e+11	94.055	9.95174e+10	4.73739
1.65971e+12	353.054	2.67312e+11	14.7851
1.65971e+12	149.983	2.67312e+11	3.63192
2.59164e+12	527.491	4.19294e+11	22.1891
2.59164e+12	275.211	4.19294e+11	6.28651
3.20405e+12	627.944	5.18161e+11	22.7728
3.20405e+12	525.443	5.18161e+11	23.7904
4.7395e+12	846.951	7.60245e+11	26.1942
4.7395e+12	784.981	7.60245e+11	25.7812
3.39043e+12	604.98	5.50705e+11	24.1083
3.39043e+12	686.714	5.50705e+11	25.873
1.40233e+13	2147.16	2.23429e+12	45.0151
1.40233e+13	2521.26	2.23429e+12	47.3233
2.49401e+12	421.667	4.02422e+11	16.9963
2.49401e+12	557.525	4.02422e+11	20.2188
6.66548e+11	108.753	1.11944e+11	5.30481
6.66548e+11	142.722	1.11944e+11	6.89902
1.00293e+12	186.206	1.63198e+11	8.97105
1.00293e+12	196.699	1.63198e+11	8.96198
4.33123e+11	80.165	7.58488e+10	3.83952
4.33123e+11	87.7329	7.58488e+10	3.98991
1.56208e+11	31.0939	3.44932e+10	1.66744
1.56208e+11	33.3779	3.44932e+10	1.50563
