Diode 28 IV curve
Measurement Started at 13:33:32.341 26/02/2018 by Lydia(Kostas) on epllt004.ph.bham.ac.uk.

Diode 28 IV curve T = 23.1C
Atlas
BILPA

KEITHLEY INSTRUMENTS INC.
MODEL 2410
1381830
C32   Oct  4 2010 14:20:11/A02  /J/K

Measurement Current Range: 1.05uA (Auto on)
Source Voltage Range:1.1kV (Auto off)
Compliance Level: 5uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)
13:33:32.341	-0.02521224	-1.922116E-10
13:33:32.738	-0.02707948	-6.473261E-11
13:33:33.139	-0.025167	2.201089E-11
13:33:33.539	-0.02680643	-1.86381E-10
13:33:33.938	-0.02630506	1.165672E-10
13:33:34.338	-5.03853	-3.62652E-10
13:33:34.738	-5.038939	-3.699707E-10
13:33:35.139	-5.03872	-3.083199E-10
13:33:35.539	-5.038859	-2.793757E-10
13:33:35.938	-5.039407	-2.458416E-10
13:33:36.338	-10.03565	-4.075983E-10
13:33:36.738	-10.03738	-2.106118E-10
13:33:37.138	-10.03645	-4.615995E-10
13:33:37.537	-10.03669	-2.195017E-10
13:33:37.937	-10.03547	-4.025123E-10
13:33:38.337	-15.03078	-2.423267E-10
13:33:38.737	-15.03106	-4.731357E-10
13:33:39.136	-15.02983	-2.273583E-10
13:33:39.536	-15.02933	-4.713177E-10
13:33:39.936	-15.03001	-3.055081E-10
13:33:40.336	-20.04297	-5.450427E-10
13:33:40.736	-20.04378	-3.1845E-10
13:33:41.137	-20.04411	-4.804556E-10
13:33:41.536	-20.04372	-2.308727E-10
13:33:41.936	-20.04413	-3.694745E-10
13:33:42.336	-25.03948	-2.933924E-10
13:33:42.736	-25.0391	-3.590544E-10
13:33:43.135	-25.03934	-4.432403E-10
13:33:43.535	-25.03992	-2.409618E-10
13:33:43.935	-25.03787	-5.027007E-10
13:33:44.336	-30.05417	-3.556225E-10
13:33:44.735	-30.05432	-5.986297E-10
13:33:45.135	-30.05482	-3.564084E-10
13:33:45.534	-30.05326	-6.055771E-10
13:33:45.934	-30.05454	-3.25686E-10
13:33:46.334	-35.04232	-6.048741E-10
13:33:46.734	-35.04415	-3.219232E-10
13:33:47.133	-35.04462	-4.335238E-10
13:33:47.534	-35.04306	-4.810756E-10
13:33:47.934	-35.04391	-5.596389E-10
13:33:48.334	-40.05928	-3.774957E-10
13:33:48.733	-40.05806	-4.905443E-10
13:33:49.133	-40.05783	-5.273443E-10
13:33:49.533	-40.05726	-4.197141E-10
13:33:49.933	-40.05748	-4.774363E-10
13:33:50.334	-45.05341	-6.788062E-10
13:33:50.733	-45.05325	-4.446881E-10
13:33:51.132	-45.05642	-3.901894E-10
13:33:51.532	-45.05387	-5.28709E-10
13:33:51.932	-45.05441	-4.141318E-10
13:33:52.332	-50.06707	-6.341908E-10
13:33:52.732	-50.06834	-4.713998E-10
13:33:53.132	-50.06723	-6.875714E-10
13:33:53.532	-50.06833	-4.201683E-10
13:33:53.931	-50.06671	-6.504399E-10
13:33:54.331	-55.06387	-4.581682E-10
13:33:54.731	-55.0624	-6.604467E-10
13:33:55.131	-55.06431	-3.836567E-10
13:33:55.532	-55.0621	-5.856471E-10
13:33:55.932	-55.06406	-4.679683E-10
13:33:56.331	-60.05772	-5.734074E-10
13:33:56.731	-60.05928	-4.118156E-10
13:33:57.131	-60.05798	-6.88978E-10
13:33:57.531	-60.05877	-5.20936E-10
13:33:57.931	-60.05811	-7.338835E-10
13:33:58.331	-65.07237000000001	-7.092383E-10
13:33:58.730	-65.07144	-7.253238E-10
13:33:59.130	-65.07250000000001	-4.870706E-10
13:33:59.529	-65.07156999999999	-5.648481E-10
13:33:59.929	-65.07231	-5.204394E-10
13:34:00.329	-70.06649	-4.789663E-10
13:34:00.729	-70.06716	-7.489746E-10
13:34:01.129	-70.06779	-5.061326E-10
13:34:01.529	-70.06654	-7.169711E-10
13:34:01.928	-70.06804	-4.188035E-10
13:34:02.329	-75.0783	-6.261263E-10
13:34:02.729	-75.07801000000001	-6.456856E-10
13:34:03.129	-75.07874	-5.786166E-10
13:34:03.528	-75.07814	-7.11968E-10
13:34:03.928	-75.07832	-4.979865E-10
13:34:04.329	-80.0668	-7.26439E-10
13:34:04.728	-80.0685	-5.490934E-10
13:34:05.128	-80.06738	-6.052046E-10
13:34:05.527	-80.06783	-6.017722E-10
13:34:05.927	-80.06692	-5.319339E-10
13:34:06.328	-85.07433	-8.073587E-10
13:34:06.727	-85.07571	-5.311901E-10
13:34:07.126	-85.0752	-7.964845E-10
13:34:07.526	-85.07623	-5.059257E-10
