Warm Set A Diode 33 post-annealing 
Measurement Started at 14:12:39.483 05/03/2018 by Lydia(Kostas) on epllt004.ph.bham.ac.uk.

Warm Set A Diode 33 post-annealing T = 60.1:59.5 T_box = 23. 7
Atlas
BILPA

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4302379
C33   Mar 31 2015 09:32:39/A02  /J/M

Measurement Current Range: 1.05uA (Auto on)
Source Voltage Range:1.1kV (Auto off)
Compliance Level: 10uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)
14:12:39.483	0	-7.797298E-8
14:12:39.856	0	-7.843508E-8
14:12:40.232	0	-7.793538E-8
14:12:40.607	0	-7.793319E-8
14:12:40.976	0	-7.804723999999999E-8
14:12:41.352	-5	-3.423068E-7
14:12:41.734	-5	-3.414174E-7
14:12:42.119	-5	-3.410308E-7
14:12:42.502	-5	-3.40772E-7
14:12:42.886	-5	-3.408537E-7
14:12:43.270	-10	-4.607656E-7
14:12:43.653	-10	-4.601257E-7
14:12:44.037	-10	-4.60036E-7
14:12:44.423	-10	-4.599515E-7
14:12:44.810	-10	-4.59632E-7
14:12:45.188	-15	-5.561672E-7
14:12:45.572	-15	-5.559534E-7
14:12:45.956	-15	-5.556759E-7
14:12:46.339	-15	-5.554793E-7
14:12:46.723	-15	-5.556733E-7
14:12:47.109	-20	-6.377144E-7
14:12:47.493	-20	-6.374279E-7
14:12:47.874	-20	-6.373721E-7
14:12:48.257	-20	-6.371878E-7
14:12:48.641	-20	-6.372655E-7
14:12:49.026	-25	-7.091251E-7
14:12:49.409	-25	-7.08825E-7
14:12:49.793	-25	-7.088519E-7
14:12:50.176	-25	-7.086246E-7
14:12:50.560	-25	-7.086248000000001E-7
14:12:50.944	-30	-7.735667E-7
14:12:51.328	-30	-7.731624E-7
14:12:51.711	-30	-7.733344E-7
14:12:52.095	-30	-7.731406E-7
14:12:52.479	-30	-7.729951E-7
14:12:52.863	-35	-8.318441E-7
14:12:53.247	-35	-8.313708E-7
14:12:53.630	-35	-8.314262E-7
14:12:54.014	-35	-8.313975E-7
14:12:54.398	-35	-8.311673000000001E-7
14:12:54.782	-40	-8.85024E-7
14:12:55.166	-40	-8.846952E-7
14:12:55.550	-40	-8.847002E-7
14:12:55.934	-40	-8.848153E-7
14:12:56.318	-40	-8.845641E-7
14:12:56.702	-45	-9.331916E-7
14:12:57.085	-45	-9.329681E-7
14:12:57.469	-45	-9.327421E-7
14:12:57.853	-45	-9.329924E-7
14:12:58.237	-45	-9.328425E-7
14:12:58.622	-50	-9.762674999999999E-7
14:12:59.005	-50	-9.761523E-7
14:12:59.388	-50	-9.759552E-7
14:12:59.772	-50	-9.760871000000001E-7
14:13:00.156	-50	-9.759544E-7
14:13:00.541	-55	-1.013737E-6
14:13:00.924	-55	-1.013687E-6
14:13:01.307	-55	-1.013486E-6
14:13:01.691	-55	-1.013698E-6
14:13:02.075	-55	-1.013507E-6
14:13:02.500	-60	-1.045877E-6
14:13:02.923	-60	-1.045576E-6
14:13:03.306	-60	-1.045815E-6
14:13:03.690	-60	-1.045697E-6
14:13:04.073	-60	-1.045869E-6
14:13:04.458	-65	-1.072483E-6
14:13:04.842	-65	-1.0724E-6
14:13:05.225	-65	-1.072399E-6
14:13:05.609	-65	-1.072573E-6
14:13:05.992	-65	-1.072453E-6
14:13:06.377	-70	-1.094567E-6
14:13:06.760	-70	-1.094319E-6
14:13:07.145	-70	-1.094531E-6
14:13:07.528	-70	-1.094327E-6
14:13:07.912	-70	-1.094642E-6
14:13:08.296	-75	-1.112516E-6
14:13:08.680	-75	-1.112683E-6
14:13:09.064	-75	-1.112512E-6
14:13:09.448	-75	-1.112814E-6
14:13:09.831	-75	-1.112591E-6
14:13:10.216	-80	-1.12784E-6
14:13:10.591	-80	-1.127667E-6
14:13:10.967	-80	-1.127904E-6
14:13:11.343	-80	-1.127862E-6
14:13:11.719	-80	-1.12801E-6
14:13:12.103	-85	-1.140848E-6
14:13:12.486	-85	-1.141166E-6
14:13:12.870	-85	-1.141008E-6
14:13:13.254	-85	-1.141166E-6
14:13:13.639	-85	-1.14107E-6
14:13:14.022	-90	-1.152714E-6
14:13:14.405	-90	-1.152706E-6
14:13:14.781	-90	-1.153045E-6
14:13:15.157	-90	-1.152756E-6
14:13:15.542	-90	-1.153058E-6
14:13:15.926	-95	-1.163701E-6
14:13:16.309	-95	-1.163717E-6
14:13:16.692	-95	-1.163642E-6
14:13:17.076	-95	-1.163932E-6
14:13:17.460	-95	-1.163906E-6
14:13:17.845	-100	-1.173831E-6
14:13:18.228	-100	-1.174004E-6
14:13:18.612	-100	-1.173848E-6
14:13:18.995	-100	-1.174138E-6
14:13:19.379	-100	-1.173916E-6
14:13:19.764	-105	-1.183908E-6
14:13:20.147	-105	-1.183584E-6
14:13:20.531	-105	-1.183835E-6
14:13:20.915	-105	-1.183664E-6
14:13:21.290	-105	-1.183689E-6
14:13:21.667	-110	-1.19346E-6
14:13:22.050	-110	-1.193233E-6
14:13:22.434	-110	-1.193363E-6
14:13:22.818	-110	-1.193199E-6
14:13:23.201	-110	-1.193409E-6
14:13:23.586	-115	-1.203268E-6
14:13:23.969	-115	-1.202998E-6
14:13:24.353	-115	-1.202914E-6
14:13:24.737	-115	-1.202634E-6
14:13:25.121	-115	-1.202739E-6
14:13:25.505	-120	-1.212966E-6
14:13:25.889	-120	-1.212818E-6
14:13:26.273	-120	-1.212421E-6
14:13:26.657	-120	-1.212479E-6
14:13:27.041	-120	-1.212106E-6
14:13:27.424	-125	-1.223599E-6
14:13:27.808	-125	-1.222936E-6
14:13:28.192	-125	-1.222791E-6
14:13:28.576	-125	-1.222383E-6
14:13:28.960	-125	-1.222149E-6
14:13:29.344	-130	-1.234644E-6
14:13:29.728	-130	-1.234088E-6
14:13:30.111	-130	-1.233463E-6
14:13:30.495	-130	-1.232866E-6
14:13:30.879	-130	-1.232607E-6
14:13:31.263	-135	-1.247252E-6
14:13:31.647	-135	-1.246124E-6
14:13:32.030	-135	-1.245012E-6
14:13:32.413	-135	-1.244514E-6
14:13:32.797	-135	-1.243588E-6
14:13:33.182	-140	-1.261542E-6
14:13:33.566	-140	-1.259418E-6
14:13:33.950	-140	-1.258245E-6
14:13:34.333	-140	-1.256896E-6
14:13:34.717	-140	-1.256127E-6
14:13:35.101	-145	-1.278116E-6
14:13:35.484	-145	-1.275519E-6
14:13:35.868	-145	-1.273284E-6
14:13:36.252	-145	-1.2717E-6
14:13:36.636	-145	-1.270208E-6
14:13:37.020	-150	-1.299154E-6
14:13:37.403	-150	-1.294978E-6
14:13:37.787	-150	-1.291682E-6
14:13:38.171	-150	-1.289159E-6
14:13:38.555	-150	-1.287128E-6
14:13:38.940	-155	-1.324834E-6
14:13:39.323	-155	-1.318727E-6
14:13:39.706	-155	-1.314414E-6
14:13:40.090	-155	-1.310601E-6
14:13:40.474	-155	-1.307629E-6
14:13:40.859	-160	-1.358304E-6
14:13:41.242	-160	-1.349222E-6
14:13:41.625	-160	-1.342935E-6
14:13:42.010	-160	-1.33784E-6
14:13:42.394	-160	-1.33368E-6
14:13:42.778	-165	-1.400758E-6
14:13:43.162	-165	-1.388698E-6
14:13:43.546	-165	-1.379858E-6
14:13:43.930	-165	-1.372963E-6
14:13:44.313	-165	-1.367031E-6
14:13:44.697	-170	-1.457007E-6
14:13:45.081	-170	-1.440499E-6
14:13:45.465	-170	-1.428568E-6
14:13:45.849	-170	-1.418996E-6
14:13:46.233	-170	-1.411295E-6
14:13:46.616	-175	-1.5289E-6
14:13:46.999	-175	-1.507405E-6
14:13:47.384	-175	-1.491869E-6
14:13:47.768	-175	-1.479334E-6
14:13:48.151	-175	-1.468829E-6
14:13:48.535	-180	-1.623101E-6
14:13:48.918	-180	-1.595671E-6
14:13:49.302	-180	-1.575421E-6
14:13:49.686	-180	-1.559316E-6
14:13:50.070	-180	-1.545484E-6
14:13:50.454	-185	-1.743345E-6
14:13:50.838	-185	-1.708901E-6
14:13:51.221	-185	-1.683702E-6
14:13:51.605	-185	-1.662798E-6
14:13:51.989	-185	-1.645658E-6
14:13:52.374	-190	-1.894904E-6
14:13:52.757	-190	-1.853442E-6
14:13:53.140	-190	-1.822205E-6
14:13:53.524	-190	-1.796716E-6
14:13:53.908	-190	-1.774774E-6
14:13:54.293	-195	-2.085165E-6
14:13:54.676	-195	-2.035481E-6
14:13:55.060	-195	-1.998268E-6
14:13:55.444	-195	-1.967257E-6
14:13:55.828	-195	-1.940572E-6
14:13:56.212	-200	-2.313244E-6
14:13:56.595	-200	-2.256267E-6
14:13:56.979	-200	-2.212777E-6
14:13:57.363	-200	-2.176174E-6
14:13:57.747	-200	-2.144626E-6
14:13:58.131	-205	-2.584449E-6
14:13:58.513	-205	-2.520504E-6
14:13:58.898	-205	-2.470357E-6
14:13:59.282	-205	-2.428519E-6
14:13:59.667	-205	-2.391822E-6
14:14:00.051	-210	-2.893148E-6
14:14:00.433	-210	-2.822336E-6
14:14:00.818	-210	-2.767297E-6
14:14:01.202	-210	-2.720304E-6
14:14:01.586	-210	-2.678389E-6
