Warm Set B Diode 34 post-annealing 
Measurement Started at 15:29:24.957 05/03/2018 by Lydia(Kostas) on epllt004.ph.bham.ac.uk.

Warm Set B Diode 34 post-annealing T = 60.2:58.9 T_box = 23.5
Atlas
BILPA

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4302379
C33   Mar 31 2015 09:32:39/A02  /J/M

Measurement Current Range: 1.05uA (Auto on)
Source Voltage Range:1.1kV (Auto off)
Compliance Level: 10uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)
15:29:24.957	0	-4.773157E-8
15:29:25.328	0	-4.736334E-8
15:29:25.696	0	-4.826942E-8
15:29:26.064	0	-4.861774E-8
15:29:26.431	0	-4.720354E-8
15:29:26.808	-5	-3.072926E-7
15:29:27.191	-5	-3.063451E-7
15:29:27.575	-5	-3.060642E-7
15:29:27.951	-5	-3.06094E-7
15:29:28.319	-5	-3.058108E-7
15:29:28.696	-10	-4.142336E-7
15:29:29.079	-10	-4.136969E-7
15:29:29.462	-10	-4.130646E-7
15:29:29.846	-10	-4.128669E-7
15:29:30.222	-10	-4.128558E-7
15:29:30.599	-15	-4.992699E-7
15:29:30.983	-15	-4.988854E-7
15:29:31.366	-15	-4.988895E-7
15:29:31.749	-15	-4.987632E-7
15:29:32.133	-15	-4.98651E-7
15:29:32.518	-20	-5.727211E-7
15:29:32.902	-20	-5.723337E-7
15:29:33.286	-20	-5.719412E-7
15:29:33.669	-20	-5.719956E-7
15:29:34.052	-20	-5.720354E-7
15:29:34.436	-25	-6.36628E-7
15:29:34.820	-25	-6.362725E-7
15:29:35.204	-25	-6.364027999999999E-7
15:29:35.589	-25	-6.362368E-7
15:29:35.972	-25	-6.361714E-7
15:29:36.356	-30	-6.948857E-7
15:29:36.739	-30	-6.944964E-7
15:29:37.123	-30	-6.943496E-7
15:29:37.507	-30	-6.944688E-7
15:29:37.891	-30	-6.943744E-7
15:29:38.275	-35	-7.473433E-7
15:29:38.658	-35	-7.474225E-7
15:29:39.042	-35	-7.471938E-7
15:29:39.426	-35	-7.471113E-7
15:29:39.810	-35	-7.473052E-7
15:29:40.195	-40	-7.962709E-7
15:29:40.578	-40	-7.962221E-7
15:29:40.962	-40	-7.962744E-7
15:29:41.345	-40	-7.961501E-7
15:29:41.729	-40	-7.962493E-7
15:29:42.114	-45	-8.413749999999999E-7
15:29:42.497	-45	-8.412406E-7
15:29:42.881	-45	-8.4145E-7
15:29:43.265	-45	-8.412022E-7
15:29:43.649	-45	-8.413277E-7
15:29:44.032	-50	-8.828992E-7
15:29:44.416	-50	-8.825371E-7
15:29:44.800	-50	-8.827506E-7
15:29:45.185	-50	-8.825842E-7
15:29:45.568	-50	-8.825749E-7
15:29:45.952	-55	-9.201887E-7
15:29:46.335	-55	-9.199339E-7
15:29:46.719	-55	-9.198243E-7
15:29:47.104	-55	-9.200066E-7
15:29:47.488	-55	-9.199437E-7
15:29:47.872	-60	-9.534151E-7
15:29:48.254	-60	-9.531443E-7
15:29:48.638	-60	-9.532746E-7
15:29:49.023	-60	-9.533246E-7
15:29:49.407	-60	-9.534251E-7
15:29:49.791	-65	-9.819918E-7
15:29:50.175	-65	-9.820329E-7
15:29:50.558	-65	-9.821249999999999E-7
15:29:50.941	-65	-9.819782E-7
15:29:51.325	-65	-9.822122000000001E-7
15:29:51.710	-70	-1.006676E-6
15:29:52.094	-70	-1.006674E-6
15:29:52.478	-70	-1.006907E-6
15:29:52.861	-70	-1.006778E-6
15:29:53.244	-70	-1.006903E-6
15:29:53.628	-75	-1.027485E-6
15:29:54.012	-75	-1.027422E-6
15:29:54.397	-75	-1.027585E-6
15:29:54.781	-75	-1.02738E-6
15:29:55.165	-75	-1.027602E-6
15:29:55.580	-80	-1.044933E-6
15:29:55.995	-80	-1.044782E-6
15:29:56.379	-80	-1.044845E-6
15:29:56.764	-80	-1.04483E-6
15:29:57.148	-80	-1.045023E-6
15:29:57.532	-85	-1.059735E-6
15:29:57.915	-85	-1.0598E-6
15:29:58.298	-85	-1.059632E-6
15:29:58.682	-85	-1.059544E-6
15:29:59.066	-85	-1.059833E-6
15:29:59.451	-90	-1.072469E-6
15:29:59.834	-90	-1.07262E-6
15:30:00.218	-90	-1.072385E-6
15:30:00.601	-90	-1.072537E-6
15:30:00.985	-90	-1.072606E-6
15:30:01.370	-95	-1.08396E-6
15:30:01.754	-95	-1.084019E-6
15:30:02.137	-95	-1.083779E-6
15:30:02.521	-95	-1.084098E-6
15:30:02.905	-95	-1.083833E-6
15:30:03.289	-100	-1.094808E-6
15:30:03.673	-100	-1.094544E-6
15:30:04.057	-100	-1.094656E-6
15:30:04.440	-100	-1.094398E-6
15:30:04.824	-100	-1.094565E-6
15:30:05.208	-105	-1.104857E-6
15:30:05.591	-105	-1.10482E-6
15:30:05.976	-105	-1.104669E-6
15:30:06.360	-105	-1.104852E-6
15:30:06.744	-105	-1.10461E-6
15:30:07.128	-110	-1.115206E-6
15:30:07.511	-110	-1.114949E-6
15:30:07.895	-110	-1.114625E-6
15:30:08.279	-110	-1.114576E-6
15:30:08.663	-110	-1.114289E-6
15:30:09.047	-115	-1.125515E-6
15:30:09.431	-115	-1.124957E-6
15:30:09.815	-115	-1.124736E-6
15:30:10.198	-115	-1.124218E-6
15:30:10.582	-115	-1.124198E-6
15:30:10.966	-120	-1.135989E-6
15:30:11.350	-120	-1.135332E-6
15:30:11.734	-120	-1.135083E-6
15:30:12.118	-120	-1.134459E-6
15:30:12.502	-120	-1.134185E-6
15:30:12.886	-125	-1.147309E-6
15:30:13.269	-125	-1.146529E-6
15:30:13.653	-125	-1.145715E-6
15:30:14.037	-125	-1.145319E-6
15:30:14.421	-125	-1.144509E-6
15:30:14.805	-130	-1.16011E-6
15:30:15.188	-130	-1.158421E-6
15:30:15.572	-130	-1.157561E-6
15:30:15.956	-130	-1.156757E-6
15:30:16.340	-130	-1.155981E-6
15:30:16.725	-135	-1.174509E-6
15:30:17.108	-135	-1.172374E-6
15:30:17.491	-135	-1.170778E-6
15:30:17.875	-135	-1.169326E-6
15:30:18.259	-135	-1.168337E-6
15:30:18.643	-140	-1.191924E-6
15:30:19.027	-140	-1.188852E-6
15:30:19.411	-140	-1.186348E-6
15:30:19.794	-140	-1.184336E-6
15:30:20.178	-140	-1.182948E-6
15:30:20.562	-145	-1.213705E-6
15:30:20.946	-145	-1.209181E-6
15:30:21.330	-145	-1.205456E-6
15:30:21.714	-145	-1.202716E-6
15:30:22.097	-145	-1.200439E-6
15:30:22.481	-150	-1.241702E-6
15:30:22.865	-150	-1.235005E-6
15:30:23.249	-150	-1.229912E-6
15:30:23.633	-150	-1.225646E-6
15:30:24.017	-150	-1.222557E-6
15:30:24.400	-155	-1.278285E-6
15:30:24.784	-155	-1.268718E-6
15:30:25.168	-155	-1.261633E-6
15:30:25.552	-155	-1.255666E-6
15:30:25.936	-155	-1.250988E-6
15:30:26.320	-160	-1.326636E-6
15:30:26.703	-160	-1.313359E-6
15:30:27.087	-160	-1.303299E-6
15:30:27.471	-160	-1.295367E-6
15:30:27.855	-160	-1.288958E-6
15:30:28.239	-165	-1.390169E-6
15:30:28.623	-165	-1.37228E-6
15:30:29.007	-165	-1.358835E-6
15:30:29.391	-165	-1.348522E-6
15:30:29.775	-165	-1.339588E-6
15:30:30.159	-170	-1.474411E-6
15:30:30.542	-170	-1.451345E-6
15:30:30.926	-170	-1.433989E-6
15:30:31.310	-170	-1.419903E-6
15:30:31.694	-170	-1.407784E-6
15:30:32.079	-175	-1.583645E-6
15:30:32.462	-175	-1.554075E-6
15:30:32.837	-175	-1.532022E-6
15:30:33.213	-175	-1.514869E-6
15:30:33.597	-175	-1.499305E-6
15:30:33.981	-180	-1.726479E-6
15:30:34.365	-180	-1.690006E-6
15:30:34.748	-180	-1.662325E-6
15:30:35.132	-180	-1.639628E-6
15:30:35.516	-180	-1.619775E-6
15:30:35.901	-185	-1.905633E-6
15:30:36.284	-185	-1.861241E-6
15:30:36.667	-185	-1.827548E-6
15:30:37.051	-185	-1.799267E-6
15:30:37.435	-185	-1.774925E-6
15:30:37.820	-190	-2.1265E-6
15:30:38.204	-190	-2.074748E-6
15:30:38.588	-190	-2.034767E-6
15:30:38.972	-190	-2.000801E-6
15:30:39.355	-190	-1.971391E-6
15:30:39.739	-195	-2.394766E-6
15:30:40.123	-195	-2.335074E-6
15:30:40.506	-195	-2.288477E-6
15:30:40.891	-195	-2.248419E-6
15:30:41.275	-195	-2.213481E-6
15:30:41.659	-200	-2.704485E-6
15:30:42.041	-200	-2.638327E-6
15:30:42.425	-200	-2.585454E-6
15:30:42.810	-200	-2.539693E-6
15:30:43.194	-200	-2.499323E-6
15:30:43.578	-205	-3.059188E-6
15:30:43.962	-205	-2.986269E-6
15:30:44.345	-205	-2.927148E-6
15:30:44.728	-205	-2.876069E-6
15:30:45.112	-205	-2.830509E-6
15:30:45.497	-210	-3.449853E-6
15:30:45.881	-210	-3.371169E-6
15:30:46.264	-210	-3.307002E-6
15:30:46.648	-210	-3.249946E-6
15:30:47.031	-210	-3.200431E-6
