Diode 44 IV curve
Measurement Started at 11:33:43.974 28/02/2018 by Lydia(Kostas) on epllt004.ph.bham.ac.uk.

Diode 44 IV curve T = 23.8
Atlas
BILPA

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4302379
C33   Mar 31 2015 09:32:39/A02  /J/M

Measurement Current Range: 1.05uA (Auto on)
Source Voltage Range:1.1kV (Auto off)
Compliance Level: 5uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)
11:33:43.974	0	2.270763E-10
11:33:44.349	0	1.470071E-10
11:33:44.718	0	7.549806999999999E-11
11:33:45.086	0	1.067865E-11
11:33:45.453	0	1.291817E-10
11:33:45.829	-5	-7.280021E-11
11:33:46.213	-5	-1.8653E-10
11:33:46.597	-5	-1.980408E-10
11:33:46.981	-5	-2.356451E-10
11:33:47.365	-5	-2.112125E-10
11:33:47.749	-10	-7.288303E-11
11:33:48.132	-10	-1.537033E-10
11:33:48.516	-10	-2.174038E-10
11:33:48.900	-10	-2.545104E-10
11:33:49.284	-10	-2.87711E-10
11:33:49.668	-15	-2.493574E-10
11:33:50.052	-15	-3.303861E-10
11:33:50.435	-15	-2.797328E-10
11:33:50.818	-15	-2.850934E-10
11:33:51.202	-15	-1.252394E-10
11:33:51.587	-20	-2.737494E-10
11:33:51.970	-20	-2.240108E-10
11:33:52.354	-20	-1.212089E-10
11:33:52.737	-20	-1.093665E-10
11:33:53.122	-20	-1.003911E-10
11:33:53.506	-25	-6.951759E-11
11:33:53.889	-25	-6.714897E-11
11:33:54.274	-25	-5.493245E-11
11:33:54.658	-25	-1.471792E-10
11:33:55.041	-25	-8.842401E-11
11:33:55.425	-30	-1.733578E-10
11:33:55.808	-30	-1.173031E-10
11:33:56.193	-30	-9.577883E-11
11:33:56.577	-30	-3.174588E-11
11:33:56.961	-30	-1.115688E-10
11:33:57.345	-35	-5.81735E-11
11:33:57.728	-35	-1.197132E-10
11:33:58.111	-35	-1.539115E-10
11:33:58.495	-35	-1.790089E-10
11:33:58.879	-35	-9.565412E-11
11:33:59.263	-40	-1.316391E-10
11:33:59.647	-40	-5.642825E-11
11:34:00.031	-40	-1.626785E-10
11:34:00.414	-40	-5.646971E-11
11:34:00.790	-40	-1.484676E-10
11:34:01.167	-45	-5.185748E-11
11:34:01.551	-45	-1.374144E-10
11:34:01.935	-45	-9.390906999999999E-11
11:34:02.318	-45	-1.665847E-10
11:34:02.702	-45	-2.229303E-10
11:34:03.086	-50	-2.265865E-10
11:34:03.462	-50	-2.891239E-10
11:34:03.838	-50	-2.341497E-10
11:34:04.221	-50	-2.373902E-10
11:34:04.605	-50	-2.366012E-10
11:34:04.989	-55	-2.776969E-10
11:34:05.373	-55	-3.358291E-10
11:34:05.749	-55	-3.472979E-10
11:34:06.125	-55	-3.159252E-10
11:34:06.508	-55	-3.923824E-10
11:34:06.893	-60	-4.008173E-10
11:34:07.277	-60	-3.251089E-10
11:34:07.661	-60	-2.87129E-10
11:34:08.045	-60	-2.692201E-10
11:34:08.428	-60	-2.460752E-10
11:34:08.812	-65	-1.632186E-10
11:34:09.195	-65	-3.196653E-10
11:34:09.579	-65	-1.611412E-10
11:34:09.963	-65	-1.693691E-10
11:34:10.347	-65	-2.274597E-10
11:34:10.731	-70	-3.522845E-10
11:34:11.115	-70	-2.798158E-10
11:34:11.490	-70	-2.949408E-10
11:34:11.867	-70	-3.423531E-10
11:34:12.251	-70	-3.396103E-10
11:34:12.636	-75	-2.794836E-10
11:34:13.019	-75	-2.326121E-10
11:34:13.402	-75	-2.389696E-10
11:34:13.785	-75	-2.031095E-10
11:34:14.169	-75	-1.611411E-10
11:34:14.554	-80	-1.247825E-10
11:34:14.938	-80	-2.653142E-10
11:34:15.322	-80	-2.905782E-10
11:34:15.706	-80	-3.690298E-10
11:34:16.089	-80	-3.747227E-10
11:34:16.473	-85	-4.531739E-10
11:34:16.856	-85	-3.913435E-10
11:34:17.240	-85	-3.642927E-10
11:34:17.625	-85	-3.082795E-10
11:34:18.008	-85	-1.245333E-10
11:34:18.392	-90	-2.370166E-10
11:34:18.775	-90	-2.191904E-10
11:34:19.159	-90	-2.734583E-10
11:34:19.544	-90	-1.628863E-10
11:34:19.928	-90	-2.350637E-10
11:34:20.311	-95	-2.439558E-10
11:34:20.695	-95	-2.052701E-10
11:34:21.079	-95	-2.631951E-10
11:34:21.463	-95	-3.516606E-10
11:34:21.847	-95	-3.710658E-10
11:34:22.231	-100	-3.188755E-10
11:34:22.614	-100	-4.168567E-10
11:34:22.998	-100	-4.061364E-10
11:34:23.382	-100	-3.989891E-10
11:34:23.766	-100	-3.060359E-10
11:34:24.150	-105	-2.040653E-10
11:34:24.534	-105	-1.57152E-10
11:34:24.918	-105	-1.401155E-10
11:34:25.301	-105	-1.556563E-10
11:34:25.685	-105	-2.185671E-10
11:34:26.069	-110	-3.211192E-10
11:34:26.453	-110	-2.800235E-10
11:34:26.837	-110	-3.149281E-10
11:34:27.221	-110	-3.748469E-10
11:34:27.605	-110	-3.810798E-10
11:34:27.989	-115	-3.886013E-10
11:34:28.372	-115	-3.92382E-10
11:34:28.756	-115	-3.927978E-10
11:34:29.140	-115	-3.247759E-10
11:34:29.524	-115	-2.176116E-10
11:34:29.908	-120	-2.578347E-10
11:34:30.291	-120	-2.663112E-10
11:34:30.675	-120	-2.557151E-10
11:34:31.059	-120	-2.378894E-10
11:34:31.443	-120	-2.61574E-10
11:34:31.828	-125	-4.593657E-10
11:34:32.211	-125	-4.673855E-10
11:34:32.595	-125	-4.250012E-10
11:34:32.979	-125	-4.478968E-10
11:34:33.362	-125	-3.960809E-10
11:34:33.746	-130	-4.274112E-10
11:34:34.130	-130	-4.192256E-10
11:34:34.514	-130	-3.007582E-10
11:34:34.898	-130	-3.047057E-10
11:34:35.282	-130	-2.329025E-10
11:34:35.665	-135	-3.127674E-10
11:34:36.049	-135	-2.134146E-10
11:34:36.433	-135	-2.721699E-10
11:34:36.817	-135	-1.921395E-10
11:34:37.201	-135	-2.748713E-10
11:34:37.585	-140	-4.651409E-10
11:34:37.968	-140	-4.084631E-10
11:34:38.352	-140	-3.044567E-10
11:34:38.736	-140	-4.102081E-10
11:34:39.120	-140	-3.941689E-10
11:34:39.505	-145	-4.782715E-10
11:34:39.887	-145	-4.709169E-10
11:34:40.271	-145	-4.26539E-10
11:34:40.646	-145	-4.598643E-10
11:34:41.023	-145	-5.170824E-10
11:34:41.408	-150	-3.563143E-10
11:34:41.791	-150	-3.103572E-10
11:34:42.174	-150	-4.115799E-10
11:34:42.558	-150	-3.601788E-10
11:34:42.942	-150	-3.28183E-10
11:34:43.326	-155	-2.785277E-10
11:34:43.710	-155	-3.2569E-10
11:34:44.093	-155	-2.988057E-10
11:34:44.477	-155	-3.535721E-10
11:34:44.861	-155	-2.863813E-10
11:34:45.245	-160	-5.36778E-10
11:34:45.629	-160	-4.125772E-10
11:34:46.013	-160	-4.552928E-10
11:34:46.397	-160	-4.726204E-10
11:34:46.781	-160	-5.018327E-10
11:34:47.165	-165	-5.705187E-10
11:34:47.548	-165	-5.843145E-10
11:34:47.932	-165	-5.412659E-10
11:34:48.316	-165	-4.062193E-10
11:34:48.700	-165	-3.76094E-10
11:34:49.085	-170	-4.331869E-10
11:34:49.468	-170	-4.041002E-10
11:34:49.851	-170	-3.728942E-10
11:34:50.235	-170	-5.19118E-10
11:34:50.619	-170	-5.625823E-10
11:34:51.004	-175	-5.931651999999999E-10
11:34:51.387	-175	-5.749237E-10
11:34:51.771	-175	-4.936879E-10
11:34:52.155	-175	-5.696877E-10
11:34:52.539	-175	-3.928395E-10
11:34:52.923	-180	-4.823855E-10
11:34:53.306	-180	-3.507878E-10
11:34:53.690	-180	-3.903043E-10
11:34:54.074	-180	-4.633124E-10
11:34:54.458	-180	-5.931651E-10
11:34:54.842	-185	-7.34361E-10
11:34:55.226	-185	-6.769353E-10
11:34:55.610	-185	-7.008706E-10
11:34:55.994	-185	-6.935152E-10
11:34:56.378	-185	-6.810487E-10
11:34:56.762	-190	-6.866582E-10
11:34:57.146	-190	-6.675442E-10
11:34:57.529	-190	-6.508819E-10
11:34:57.913	-190	-6.011844E-10
11:34:58.296	-190	-7.231005E-10
11:34:58.681	-195	-6.865761E-10
11:34:59.065	-195	-5.764192E-10
11:34:59.449	-195	-7.065214E-10
11:34:59.832	-195	-9.886637999999999E-10
11:35:00.216	-195	-6.582779E-10
11:35:00.600	-200	-1.037945E-9
11:35:00.984	-200	-9.868354000000001E-10
11:35:01.368	-200	-9.930275000000001E-10
11:35:01.752	-200	-1.013679E-9
11:35:02.135	-200	-8.651697E-10
11:35:02.519	-205	-1.101978E-9
11:35:02.894	-205	-1.318677E-9
11:35:03.271	-205	-1.280779E-9
11:35:03.655	-205	-1.386448E-9
11:35:04.039	-205	-1.460952E-9
11:35:04.422	-210	-2.474672E-9
11:35:04.806	-210	-2.401165E-9
11:35:05.190	-210	-2.340873E-9
11:35:05.574	-210	-2.206782E-9
11:35:05.958	-210	-2.134895E-9
