Cold Set A Diode 45 post-annealing 
Measurement Started at 11:16:17.401 05/03/2018 by Lydia(Kostas) on epllt004.ph.bham.ac.uk.

Cold Set A Diode 45 post-annealing T = 57.0:59.2 T_box = 23.7
Atlas
BILPA

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4302379
C33   Mar 31 2015 09:32:39/A02  /J/M

Measurement Current Range: 1.05uA (Auto on)
Source Voltage Range:1.1kV (Auto off)
Compliance Level: 10uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)
11:16:17.401	0	-3.606856E-9
11:16:17.769	0	-3.964618E-9
11:16:18.137	0	-3.789096E-9
11:16:18.505	0	-3.759886E-9
11:16:18.882	0	-3.810917E-9
11:16:19.266	-5	-2.31449E-8
11:16:19.649	-5	-2.313169E-8
11:16:20.033	-5	-2.301753E-8
11:16:20.417	-5	-2.303499E-8
11:16:20.801	-5	-2.32188E-8
11:16:21.185	-10	-3.201911E-8
11:16:21.568	-10	-3.211107E-8
11:16:21.951	-10	-3.221334E-8
11:16:22.327	-10	-3.198855E-8
11:16:22.704	-10	-3.218167E-8
11:16:23.088	-15	-3.906186E-8
11:16:23.472	-15	-3.900444E-8
11:16:23.855	-15	-3.919713E-8
11:16:24.239	-15	-3.903042E-8
11:16:24.623	-15	-3.900112E-8
11:16:25.008	-20	-4.5218E-8
11:16:25.391	-20	-4.519937E-8
11:16:25.774	-20	-4.535065E-8
11:16:26.158	-20	-4.514505E-8
11:16:26.541	-20	-4.515799E-8
11:16:26.926	-25	-5.061366E-8
11:16:27.309	-25	-5.039368E-8
11:16:27.693	-25	-5.065387E-8
11:16:28.076	-25	-5.052057E-8
11:16:28.460	-25	-5.055336E-8
11:16:28.845	-30	-5.557286E-8
11:16:29.228	-30	-5.545944E-8
11:16:29.612	-30	-5.561426E-8
11:16:29.996	-30	-5.532605E-8
11:16:30.380	-30	-5.549216E-8
11:16:30.764	-35	-5.995113E-8
11:16:31.147	-35	-5.98884E-8
11:16:31.531	-35	-6.009276999999999E-8
11:16:31.915	-35	-5.997181E-8
11:16:32.299	-35	-6.011019E-8
11:16:32.683	-40	-6.411532E-8
11:16:33.067	-40	-6.415166E-8
11:16:33.451	-40	-6.430324E-8
11:16:33.835	-40	-6.410868E-8
11:16:34.219	-40	-6.434554999999999E-8
11:16:34.603	-45	-6.825368E-8
11:16:34.986	-45	-6.817289E-8
11:16:35.370	-45	-6.836125000000001E-8
11:16:35.754	-45	-6.817009E-8
11:16:36.138	-45	-6.814614E-8
11:16:36.522	-50	-7.193002E-8
11:16:36.905	-50	-7.193833E-8
11:16:37.288	-50	-7.208018E-8
11:16:37.672	-50	-7.196382E-8
11:16:38.056	-50	-7.199683999999999E-8
11:16:38.441	-55	-7.565093E-8
11:16:38.824	-55	-7.564012000000001E-8
11:16:39.207	-55	-7.585749000000001E-8
11:16:39.591	-55	-7.567729E-8
11:16:39.975	-55	-7.562699E-8
11:16:40.359	-60	-7.909925000000001E-8
11:16:40.743	-60	-7.904695E-8
11:16:41.127	-60	-7.922131E-8
11:16:41.511	-60	-7.908061000000001E-8
11:16:41.895	-60	-7.931290999999999E-8
11:16:42.279	-65	-8.241783E-8
11:16:42.662	-65	-8.256462E-8
11:16:43.046	-65	-8.227022E-8
11:16:43.430	-65	-8.25346E-8
11:16:43.814	-65	-8.241883999999999E-8
11:16:44.198	-70	-8.574866000000001E-8
11:16:44.581	-70	-8.554866E-8
11:16:44.965	-70	-8.573792E-8
11:16:45.349	-70	-8.547571999999999E-8
11:16:45.733	-70	-8.574975E-8
11:16:46.118	-75	-8.867347E-8
11:16:46.500	-75	-8.887267E-8
11:16:46.884	-75	-8.873580999999999E-8
11:16:47.268	-75	-8.875047E-8
11:16:47.652	-75	-8.851605000000001E-8
11:16:48.036	-80	-9.172727999999999E-8
11:16:48.419	-80	-9.163942000000001E-8
11:16:48.803	-80	-9.156842E-8
11:16:49.186	-80	-9.18038E-8
11:16:49.571	-80	-9.156376E-8
11:16:49.956	-85	-9.427492E-8
