Cold Set B Diode 46 post-annealing 
Measurement Started at 12:57:13.914 05/03/2018 by Lydia(Kostas) on epllt004.ph.bham.ac.uk.

Cold Set B Diode 46 post-annealing T = 59.0:63.4 T_box = 24.2
Atlas
BILPA

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4302379
C33   Mar 31 2015 09:32:39/A02  /J/M

Measurement Current Range: 1.05uA (Auto on)
Source Voltage Range:1.1kV (Auto off)
Compliance Level: 10uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)
12:57:13.914	0	-6.066442E-9
12:57:14.285	0	-6.036658E-9
12:57:14.661	0	-5.87793E-9
12:57:15.036	0	-6.161761E-9
12:57:15.404	0	-5.966303E-9
12:57:15.780	-5	-2.626158E-8
12:57:16.163	-5	-2.619072E-8
12:57:16.547	-5	-2.606942E-8
12:57:16.923	-5	-2.620124E-8
12:57:17.299	-5	-2.599182E-8
12:57:17.683	-10	-3.644068E-8
12:57:18.067	-10	-3.621513E-8
12:57:18.450	-10	-3.61861E-8
12:57:18.834	-10	-3.63918E-8
12:57:19.210	-10	-3.615119E-8
12:57:19.587	-15	-4.433329E-8
12:57:19.970	-15	-4.410003E-8
12:57:20.354	-15	-4.429795E-8
12:57:20.737	-15	-4.422249E-8
12:57:21.121	-15	-4.41504E-8
12:57:21.507	-20	-5.10514E-8
12:57:21.890	-20	-5.104532E-8
12:57:22.274	-20	-5.111558E-8
12:57:22.657	-20	-5.090273E-8
12:57:23.033	-20	-5.104424E-8
12:57:23.410	-25	-5.707662E-8
12:57:23.794	-25	-5.712757E-8
12:57:24.176	-25	-5.71423E-8
12:57:24.560	-25	-5.701209E-8
12:57:24.944	-25	-5.720462E-8
12:57:25.328	-30	-6.251804E-8
12:57:25.712	-30	-6.256837E-8
12:57:26.096	-30	-6.271416E-8
12:57:26.479	-30	-6.248378E-8
12:57:26.863	-30	-6.275704E-8
12:57:27.247	-35	-6.768317000000001E-8
12:57:27.631	-35	-6.775946000000001E-8
12:57:28.015	-35	-6.763826E-8
12:57:28.399	-35	-6.778549E-8
12:57:28.783	-35	-6.773927E-8
12:57:29.167	-40	-7.257336000000001E-8
12:57:29.550	-40	-7.25922E-8
12:57:29.934	-40	-7.245675E-8
12:57:30.318	-40	-7.25463E-8
12:57:30.702	-40	-7.24707E-8
12:57:31.087	-45	-7.709988E-8
12:57:31.470	-45	-7.708147E-8
12:57:31.854	-45	-7.688445000000001E-8
12:57:32.238	-45	-7.714221E-8
12:57:32.621	-45	-7.698353E-8
12:57:33.006	-50	-8.126096E-8
12:57:33.389	-50	-8.145276999999999E-8
12:57:33.773	-50	-8.118415E-8
12:57:34.157	-50	-8.135454E-8
12:57:34.541	-50	-8.133105999999999E-8
12:57:34.925	-55	-8.544637E-8
12:57:35.308	-55	-8.554027E-8
12:57:35.692	-55	-8.529736E-8
12:57:36.076	-55	-8.545788999999999E-8
12:57:36.460	-55	-8.535562E-8
12:57:36.845	-60	-8.945679999999999E-8
12:57:37.228	-60	-8.944549E-8
12:57:37.611	-60	-8.919287E-8
12:57:37.995	-60	-8.94449E-8
12:57:38.379	-60	-8.926072E-8
12:57:38.764	-65	-9.319528000000001E-8
12:57:39.148	-65	-9.300252E-8
12:57:39.532	-65	-9.320795E-8
12:57:39.915	-65	-9.301444E-8
12:57:40.299	-65	-9.317234E-8
12:57:40.683	-70	-9.663466E-8
12:57:41.067	-70	-9.684075000000001E-8
12:57:41.451	-70	-9.658488E-8
12:57:41.834	-70	-9.683159999999999E-8
12:57:42.217	-70	-9.671260000000001E-8
12:57:42.601	-75	-1.003023E-7
12:57:42.985	-75	-1.000817E-7
12:57:43.370	-75	-1.003255E-7
12:57:43.754	-75	-1.001969E-7
12:57:44.137	-75	-1.003191E-7
12:57:44.521	-80	-1.033696E-7
12:57:44.904	-80	-1.036509E-7
12:57:45.288	-80	-1.034576E-7
12:57:45.672	-80	-1.036287E-7
12:57:46.056	-80	-1.034062E-7
12:57:46.440	-85	-1.067339E-7
12:57:46.823	-85	-1.06607E-7
12:57:47.207	-85	-1.067863E-7
12:57:47.591	-85	-1.065995E-7
12:57:47.975	-85	-1.068023E-7
12:57:48.360	-90	-1.097104E-7
12:57:48.743	-90	-1.097261E-7
12:57:49.126	-90	-1.096444E-7
12:57:49.510	-90	-1.098146E-7
12:57:49.894	-90	-1.096123E-7
12:57:50.279	-95	-1.124631E-7
12:57:50.662	-95	-1.124152E-7
12:57:51.046	-95	-1.125773E-7
12:57:51.430	-95	-1.124872E-7
12:57:51.814	-95	-1.125738E-7
12:57:52.198	-100	-1.149789E-7
12:57:52.581	-100	-1.152022E-7
12:57:52.965	-100	-1.150011E-7
12:57:53.349	-100	-1.151507E-7
12:57:53.733	-100	-1.149146E-7
12:57:54.118	-105	-1.174203E-7
12:57:54.501	-105	-1.173583E-7
12:57:54.884	-105	-1.173837E-7
12:57:55.268	-105	-1.172969E-7
12:57:55.652	-105	-1.174829E-7
12:57:56.037	-110	-1.193524E-7
12:57:56.420	-110	-1.192982E-7
12:57:56.804	-110	-1.194617E-7
12:57:57.188	-110	-1.193024E-7
12:57:57.572	-110	-1.195377E-7
12:57:57.956	-115	-1.210209E-7
12:57:58.340	-115	-1.211815E-7
12:57:58.724	-115	-1.21114E-7
12:57:59.107	-115	-1.210441E-7
12:57:59.491	-115	-1.211408E-7
12:57:59.875	-120	-1.225988E-7
12:58:00.259	-120	-1.227633E-7
12:58:00.643	-120	-1.224887E-7
12:58:01.027	-120	-1.22741E-7
12:58:01.411	-120	-1.225835E-7
12:58:01.795	-125	-1.240376E-7
12:58:02.177	-125	-1.238233E-7
12:58:02.562	-125	-1.239895E-7
12:58:02.946	-125	-1.238781E-7
12:58:03.330	-125	-1.240876E-7
12:58:03.714	-130	-1.250592E-7
12:58:04.097	-130	-1.251379E-7
12:58:04.480	-130	-1.249868E-7
12:58:04.864	-130	-1.252446E-7
12:58:05.249	-130	-1.249688E-7
12:58:05.634	-135	-1.259775E-7
12:58:06.017	-135	-1.260211E-7
12:58:06.401	-135	-1.2618E-7
12:58:06.784	-135	-1.260028E-7
12:58:07.167	-135	-1.262066E-7
12:58:07.552	-140	-1.269121E-7
12:58:07.935	-140	-1.270937E-7
12:58:08.320	-140	-1.268898E-7
12:58:08.704	-140	-1.270992E-7
12:58:09.087	-140	-1.269588E-7
12:58:09.471	-145	-1.279785E-7
12:58:09.854	-145	-1.277554E-7
12:58:10.238	-145	-1.279744E-7
12:58:10.622	-145	-1.277565E-7
