Diode26
CV Measurement
Measurement started at 11:00:20.155 23/01/2019 by Cameron(Kostas) on epllt004.ph.bham.ac.uk.

5.79e11 1.e11
Hardness
ISO7

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4303081
C33   Mar 31 2015 09:32:39/A02  /J/M

WAYNE KERR
6530B
0
3.382

Wayne Kerr settings:
Function 1 - Resistance
Function 2 - Capacitance
Equivalent Circuit - Series
Measurement Frequency - 10000 Hz

Keithley Current Range: 1.05uA (Auto on)
Keithley Source Voltage Range: 1.1kV
Compliance Level: 50uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)	
11:00:20.155	0E+0	4.784135E-7 1.086917E+5	4.762456E-11
11:00:20.622	0E+0	4.788729E-7 1.087024E+5	4.757569E-11
11:00:21.085	0E+0	4.786042E-7 1.091579E+5	4.759808E-11
11:00:21.549	0E+0	4.785462E-7 1.102319E+5	4.758474E-11
11:00:22.013	0E+0	4.783233E-7 1.097162E+5	4.768343E-11
11:00:27.279	-1E+1	-3.152823E-8 1.601815E+4	1.972327E-11
11:00:27.742	-1E+1	-3.189493E-8 1.976392E+4	1.962193E-11
11:00:28.207	-1E+1	-3.145525E-8 2.098186E+4	1.968289E-11
11:00:28.671	-1E+1	-3.160546E-8 1.813349E+4	1.971977E-11
11:00:29.135	-1E+1	-3.216378E-8 1.814286E+4	1.972919E-11
11:00:34.402	-2E+1	-4.586327E-8 1.871734E+4	1.637454E-11
11:00:34.864	-2E+1	-4.545399E-8 1.237205E+4	1.627653E-11
11:00:35.328	-2E+1	-4.589834E-8 2.106615E+4	1.635795E-11
11:00:35.792	-2E+1	-4.535086E-8 1.598303E+4	1.629532E-11
11:00:36.256	-2E+1	-4.514844E-8 2.031476E+4	1.633127E-11
11:00:41.523	-3E+1	-5.586932E-8 2.245327E+4	1.475183E-11
11:00:41.986	-3E+1	-5.578612E-8 1.091505E+4	1.472351E-11
11:00:42.450	-3E+1	-5.589831E-8 2.240185E+4	1.487367E-11
11:00:42.914	-3E+1	-5.590459E-8 2.286908E+4	1.476644E-11
11:00:43.378	-3E+1	-5.598637E-8 1.737548E+4	1.478311E-11
11:00:48.645	-4E+1	-6.530803E-8 2.415004E+4	1.383943E-11
11:00:49.108	-4E+1	-6.486626E-8 2.361836E+4	1.385335E-11
11:00:49.571	-4E+1	-6.525633E-8 2.346741E+4	1.392796E-11
