Diode36
CV Measurement
Measurement started at 14:37:57.718 23/01/2019 by Cameron(Kostas) on epllt004.ph.bham.ac.uk.

3.39e12 5.5e11
Hardness
ISO7

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4303081
C33   Mar 31 2015 09:32:39/A02  /J/M

WAYNE KERR
6530B
0
3.382

Wayne Kerr settings:
Function 1 - Resistance
Function 2 - Capacitance
Equivalent Circuit - Series
Measurement Frequency - 10000 Hz

Keithley Current Range: 1.05uA (Auto on)
Keithley Source Voltage Range: 1.1kV
Compliance Level: 50uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)	
14:37:57.718	0E+0	4.614908E-7 1.585525E+5	5.546415E-11
14:37:58.181	0E+0	4.616632E-7 1.597754E+5	5.543211E-11
14:37:58.644	0E+0	4.609671E-7 1.592467E+5	5.535691E-11
14:37:59.108	0E+0	4.611832E-7 1.584271E+5	5.543995E-11
14:37:59.573	0E+0	4.617964E-7 1.58936E+5	5.533564E-11
14:38:04.841	-1E+1	-2.906176E-7 4.433178E+4	2.201222E-11
14:38:05.302	-1E+1	-2.911368E-7 4.347094E+4	2.19673E-11
14:38:05.766	-1E+1	-2.907571E-7 3.874265E+4	2.191504E-11
14:38:06.230	-1E+1	-2.905609E-7 4.33171E+4	2.192705E-11
14:38:06.694	-1E+1	-2.909492E-7 4.071628E+4	2.196325E-11
14:38:11.961	-2E+1	-4.039242E-7 4.204051E+4	1.854879E-11
14:38:12.424	-2E+1	-4.03943E-7 4.10171E+4	1.861374E-11
14:38:12.887	-2E+1	-4.041241E-7 3.786401E+4	1.850094E-11
14:38:13.351	-2E+1	-4.041596E-7 3.518692E+4	1.841918E-11
14:38:13.816	-2E+1	-4.038582E-7 3.804954E+4	1.847795E-11
14:38:19.083	-3E+1	-4.916523E-7 3.701442E+4	1.695912E-11
14:38:19.545	-3E+1	-4.923879E-7 3.838837E+4	1.687524E-11
14:38:20.009	-3E+1	-4.916094E-7 3.919883E+4	1.68524E-11
14:38:20.474	-3E+1	-4.914094E-7 4.092779E+4	1.695073E-11
14:38:20.937	-3E+1	-4.918054E-7 3.16936E+4	1.693507E-11
14:38:26.205	-4E+1	-5.659691E-7 3.433851E+4	1.59755E-11
14:38:26.668	-4E+1	-5.65899E-7 3.645983E+4	1.591695E-11
14:38:27.132	-4E+1	-5.660239E-7 3.41634E+4	1.599876E-11
14:38:27.597	-4E+1	-5.666217E-7 3.377916E+4	1.594678E-11
14:38:28.060	-4E+1	-5.665938E-7 3.160334E+4	1.586913E-11
14:38:33.327	-5E+1	-6.305797E-7 3.558269E+4	1.526719E-11
14:38:33.790	-5E+1	-6.306176E-7 3.523964E+4	1.525254E-11
14:38:34.254	-5E+1	-6.306198E-7 3.694362E+4	1.526911E-11
14:38:34.718	-5E+1	-6.305687E-7 3.674373E+4	1.53197E-11
14:38:35.182	-5E+1	-6.306448E-7 3.920637E+4	1.531821E-11
14:38:40.448	-6E+1	-6.853037E-7 3.187547E+4	1.480585E-11
14:38:40.911	-6E+1	-6.854112E-7 3.67755E+4	1.482218E-11
14:38:41.375	-6E+1	-6.862477E-7 3.639466E+4	1.489103E-11
14:38:41.839	-6E+1	-6.859018E-7 3.623398E+4	1.483986E-11
14:38:42.303	-6E+1	-6.859219E-7 3.785392E+4	1.495833E-11
14:38:47.570	-7E+1	-7.310824E-7 3.271809E+4	1.447346E-11
14:38:48.033	-7E+1	-7.311866E-7 3.729284E+4	1.448407E-11
14:38:48.497	-7E+1	-7.300777E-7 3.891671E+4	1.445848E-11
14:38:48.961	-7E+1	-7.303652E-7 3.587068E+4	1.44629E-11
14:38:49.425	-7E+1	-7.302536E-7 2.813734E+4	1.442177E-11
14:38:54.694	-8E+1	-7.638689E-7 2.378716E+4	1.419386E-11
14:38:55.156	-8E+1	-7.64305E-7 3.097918E+4	1.417874E-11
14:38:55.620	-8E+1	-7.643957E-7 3.574347E+4	1.415532E-11
14:38:56.084	-8E+1	-7.649914E-7 3.103716E+4	1.421864E-11
14:38:56.547	-8E+1	-7.646031E-7 2.565446E+4	1.419603E-11
14:39:01.815	-9E+1	-7.896039E-7 2.129145E+4	1.389052E-11
14:39:02.277	-9E+1	-7.89648E-7 2.616593E+4	1.391614E-11
14:39:02.741	-9E+1	-7.888954E-7 3.221857E+4	1.400336E-11
14:39:03.205	-9E+1	-7.889224E-7 2.998226E+4	1.399512E-11
14:39:03.669	-9E+1	-7.892956E-7 3.90256E+4	1.3875E-11
14:39:08.943	-1E+2	-8.076121E-7 2.904291E+4	1.392504E-11
14:39:09.415	-1E+2	-8.075232E-7 2.823034E+4	1.39419E-11
14:39:09.879	-1E+2	-8.077221E-7 2.959483E+4	1.37334E-11
14:39:10.343	-1E+2	-8.07921E-7 1.953658E+4	1.376303E-11
14:39:10.807	-1E+2	-8.078093E-7 3.335749E+4	1.39553E-11
14:39:16.082	-1.1E+2	-8.227697E-7 3.449893E+4	1.396796E-11
14:39:16.553	-1.1E+2	-8.228139E-7 2.592766E+4	1.394371E-11
14:39:17.016	-1.1E+2	-8.221224E-7 3.319841E+4	1.389085E-11
14:39:17.480	-1.1E+2	-8.222232E-7 3.180167E+4	1.402736E-11
14:39:17.945	-1.1E+2	-8.227128E-7 3.458895E+4	1.397435E-11
14:39:23.213	-1.2E+2	-8.34784E-7 3.217204E+4	1.391783E-11
14:39:23.675	-1.2E+2	-8.346664E-7 1.948673E+4	1.376994E-11
14:39:24.139	-1.2E+2	-8.351436E-7 2.735016E+4	1.389161E-11
14:39:24.603	-1.2E+2	-8.355548E-7 2.434426E+4	1.384931E-11
14:39:25.067	-1.2E+2	-8.350617E-7 2.546534E+4	1.397787E-11
14:39:30.335	-1.3E+2	-8.469524E-7 2.024608E+4	1.372651E-11
14:39:30.796	-1.3E+2	-8.462998E-7 2.873492E+4	1.392219E-11
14:39:31.260	-1.3E+2	-8.468975E-7 1.815054E+4	1.383966E-11
14:39:31.725	-1.3E+2	-8.461103E-7 3.399574E+4	1.390936E-11
14:39:32.189	-1.3E+2	-8.466163E-7 3.15554E+4	1.38365E-11
14:39:37.456	-1.4E+2	-8.579385E-7 2.967049E+4	1.388923E-11
14:39:37.919	-1.4E+2	-8.5824E-7 2.876277E+4	1.369235E-11
14:39:38.382	-1.4E+2	-8.577886E-7 3.623378E+4	1.387699E-11
14:39:38.846	-1.4E+2	-8.578343E-7 3.06019E+4	1.374029E-11
14:39:39.310	-1.4E+2	-8.581464E-7 2.883483E+4	1.379392E-11
14:39:44.579	-1.5E+2	-8.697858E-7 3.470205E+4	1.387138E-11
14:39:45.041	-1.5E+2	-8.69019E-7 3.035831E+4	1.378485E-11
14:39:45.505	-1.5E+2	-8.695986E-7 2.140234E+4	1.380971E-11
14:39:45.968	-1.5E+2	-8.699344E-7 3.553331E+4	1.394724E-11
14:39:46.432	-1.5E+2	-8.697209E-7 3.339973E+4	1.381647E-11
14:39:51.699	-1.6E+2	-8.820619E-7 1.883117E+4	1.374078E-11
14:39:52.162	-1.6E+2	-8.825572E-7 3.744762E+4	1.385962E-11
14:39:52.626	-1.6E+2	-8.826026E-7 3.201841E+4	1.39241E-11
14:39:53.092	-1.6E+2	-8.822158E-7 3.849444E+4	1.387804E-11
14:39:53.555	-1.6E+2	-8.818614E-7 1.825874E+4	1.36835E-11
14:39:58.831	-1.7E+2	-8.981947E-7 4.140673E+4	1.383686E-11
14:39:59.300	-1.7E+2	-8.980583E-7 3.420333E+4	1.391556E-11
14:39:59.764	-1.7E+2	-8.984607E-7 3.416642E+4	1.385838E-11
14:40:00.228	-1.7E+2	-8.975715E-7 1.451327E+4	1.365289E-11
14:40:00.692	-1.7E+2	-8.974907E-7 2.983248E+4	1.359244E-11
14:40:05.961	-1.8E+2	-9.228344E-7 3.795573E+4	1.385227E-11
14:40:06.422	-1.8E+2	-9.227418E-7 2.877073E+4	1.368531E-11
14:40:06.887	-1.8E+2	-9.221061E-7 3.904781E+4	1.380253E-11
14:40:07.351	-1.8E+2	-9.225051E-7 4.04592E+4	1.375297E-11
14:40:07.815	-1.8E+2	-9.22473E-7 3.624998E+4	1.379407E-11
14:40:13.091	-1.9E+2	-9.828426E-7 4.101348E+4	1.371686E-11
14:40:13.561	-1.9E+2	-9.740248E-7 4.810006E+4	1.3891E-11
14:40:14.025	-1.9E+2	-9.72389E-7 5.461196E+4	1.390118E-11
14:40:14.489	-1.9E+2	-9.717805E-7 5.154083E+4	1.387116E-11
14:40:14.953	-1.9E+2	-9.710585E-7 5.138567E+4	1.382153E-11
14:40:20.220	-2E+2	-1.050009E-6 5.674728E+4	1.382211E-11
14:40:20.682	-2E+2	-1.050009E-6 6.296637E+4	1.381866E-11
14:40:21.146	-2E+2	-1.050009E-6 6.697139E+4	1.383722E-11
14:40:21.610	-2E+2	-1.050009E-6 6.467886E+4	1.374842E-11
14:40:22.074	-2E+2	-1.050011E-6 5.972308E+4	1.38849E-11
