Diode47
CV Measurement
Measurement started at 12:38:10.428 24/01/2019 by Cameron(Kostas) on epllt004.ph.bham.ac.uk.

1.56e11 3.4e10
Hardness
ISO7

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4303081
C33   Mar 31 2015 09:32:39/A02  /J/M

WAYNE KERR
6530B
0
3.382

Wayne Kerr settings:
Function 1 - Resistance
Function 2 - Capacitance
Equivalent Circuit - Series
Measurement Frequency - 10000 Hz

Keithley Current Range: 105uA (Auto on)
Keithley Source Voltage Range: 1.1kV
Compliance Level: 30uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)	
12:38:10.428	0E+0	4.657915E-7 8.048553E+4	4.966611E-11
12:38:10.890	0E+0	4.661578E-7 8.113582E+4	4.969071E-11
12:38:11.354	0E+0	4.65838E-7 8.116912E+4	4.965043E-11
12:38:11.818	0E+0	4.660403E-7 8.096186E+4	4.961344E-11
12:38:12.282	0E+0	4.660595E-7 7.971073E+4	4.962699E-11
12:38:17.548	-1E+1	-1.051132E-8 1.110804E+4	2.047893E-11
12:38:18.011	-1E+1	-1.044465E-8 1.141501E+4	2.040044E-11
12:38:18.475	-1E+1	-9.867994E-9 1.116209E+4	2.04249E-11
12:38:18.939	-1E+1	-9.940896E-9 1.070646E+4	2.037533E-11
12:38:19.404	-1E+1	-1.028372E-8 1.008414E+4	2.047024E-11
12:38:24.670	-2E+1	-1.479994E-8 1.514945E+4	1.674742E-11
12:38:25.133	-2E+1	-1.480333E-8 1.241697E+4	1.672084E-11
12:38:25.597	-2E+1	-1.457631E-8 1.230899E+4	1.676965E-11
12:38:26.061	-2E+1	-1.431687E-8 1.350404E+4	1.682571E-11
12:38:26.525	-2E+1	-1.451654E-8 1.167523E+4	1.678393E-11
12:38:31.791	-3E+1	-1.84407E-8 1.679394E+4	1.512615E-11
12:38:32.254	-3E+1	-1.833866E-8 1.444589E+4	1.507868E-11
12:38:32.718	-3E+1	-1.816964E-8 1.554951E+4	1.507836E-11
12:38:33.182	-3E+1	-1.771866E-8 1.556626E+4	1.503693E-11
12:38:33.646	-3E+1	-1.778979E-8 1.621381E+4	1.508592E-11
12:38:38.912	-4E+1	-2.114394E-8 1.621072E+4	1.404521E-11
12:38:39.376	-4E+1	-2.104743E-8 2.146821E+4	1.405682E-11
12:38:39.840	-4E+1	-2.076702E-8 1.688598E+4	1.405613E-11
12:38:40.304	-4E+1	-2.058629E-8 1.753418E+4	1.405461E-11
12:38:40.768	-4E+1	-2.112165E-8 1.69336E+4	1.401771E-11
12:38:46.036	-5E+1	-2.356862E-8 1.800633E+4	1.341345E-11
12:38:46.497	-5E+1	-2.332922E-8 1.832872E+4	1.335132E-11
12:38:46.961	-5E+1	-2.305964E-8 2.125393E+4	1.339358E-11
12:38:47.425	-5E+1	-2.362302E-8 1.872638E+4	1.334982E-11
12:38:47.889	-5E+1	-2.376442E-8 1.875205E+4	1.33619E-11
12:38:53.155	-6E+1	-2.600427E-8 2.006702E+4	1.281728E-11
12:38:53.618	-6E+1	-2.612742E-8 2.034481E+4	1.281555E-11
12:38:54.083	-6E+1	-2.634034E-8 2.412707E+4	1.286742E-11
12:38:54.547	-6E+1	-2.627157E-8 1.893214E+4	1.283674E-11
12:38:55.011	-6E+1	-2.584838E-8 2.11793E+4	1.289074E-11
12:39:00.277	-7E+1	-2.846415E-8 1.74741E+4	1.242045E-11
12:39:00.740	-7E+1	-2.834843E-8 2.021851E+4	1.245582E-11
12:39:01.203	-7E+1	-2.818279E-8 2.136181E+4	1.244955E-11
12:39:01.668	-7E+1	-2.816939E-8 2.49861E+4	1.249927E-11
12:39:02.132	-7E+1	-2.843152E-8 2.225606E+4	1.244464E-11
12:39:07.399	-8E+1	-3.013521E-8 2.228581E+4	1.215367E-11
12:39:07.861	-8E+1	-2.994224E-8 1.284559E+4	1.205934E-11
12:39:08.325	-8E+1	-3.043209E-8 2.631791E+4	1.209965E-11
12:39:08.789	-8E+1	-2.98576E-8 2.179969E+4	1.209485E-11
12:39:09.253	-8E+1	-3.036984E-8 2.513812E+4	1.208701E-11
12:39:14.520	-9E+1	-3.190905E-8 2.080021E+4	1.180232E-11
12:39:14.983	-9E+1	-3.199548E-8 2.359998E+4	1.185418E-11
12:39:15.447	-9E+1	-3.227844E-8 1.602765E+4	1.179635E-11
12:39:15.910	-9E+1	-3.212637E-8 1.984521E+4	1.186151E-11
12:39:16.375	-9E+1	-3.226764E-8 3.023989E+4	1.185414E-11
12:39:21.642	-1E+2	-3.382967E-8 2.375852E+4	1.156E-11
12:39:22.104	-1E+2	-3.371461E-8 2.308217E+4	1.162754E-11
12:39:22.568	-1E+2	-3.408349E-8 2.294778E+4	1.165095E-11
12:39:23.032	-1E+2	-3.367874E-8 2.259189E+4	1.160554E-11
12:39:23.496	-1E+2	-3.403668E-8 1.823414E+4	1.158936E-11
12:39:28.764	-1.1E+2	-3.544727E-8 2.46544E+4	1.144853E-11
12:39:29.226	-1.1E+2	-3.551132E-8 2.550498E+4	1.138987E-11
12:39:29.690	-1.1E+2	-3.537801E-8 1.896633E+4	1.137489E-11
12:39:30.154	-1.1E+2	-3.55187E-8 1.908746E+4	1.139682E-11
