Warm Set B Diode 26 post-annealing 
Measurement Started at 15:15:27.155 05/03/2018 by Lydia(Kostas) on epllt004.ph.bham.ac.uk.

Warm Set B Diode 26 post-annealing T = 60.2:58.9 T_box = 22.0
Atlas
BILPA

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4302379
C33   Mar 31 2015 09:32:39/A02  /J/M

Measurement Current Range: 1.05uA (Auto on)
Source Voltage Range:1.1kV (Auto off)
Compliance Level: 10uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)
15:15:27.155	0	1.396552E-10
15:15:27.522	0	3.073578E-10
15:15:27.891	0	3.05363E-10
15:15:28.259	0	5.220965E-10
15:15:28.627	0	5.002817E-10
15:15:29.003	-5	-2.432394E-8
15:15:29.387	-5	-2.426734E-8
15:15:29.770	-5	-2.412332E-8
15:15:30.153	-5	-2.406225E-8
15:15:30.538	-5	-2.399029E-8
15:15:30.922	-10	-3.380229E-8
15:15:31.305	-10	-3.371846E-8
15:15:31.689	-10	-3.372705E-8
15:15:32.073	-10	-3.360752E-8
15:15:32.456	-10	-3.347822E-8
15:15:32.840	-15	-4.105116E-8
15:15:33.224	-15	-4.10914E-8
15:15:33.609	-15	-4.111769E-8
15:15:33.992	-15	-4.096941E-8
15:15:34.375	-15	-4.095003E-8
15:15:34.759	-20	-4.738686E-8
15:15:35.143	-20	-4.749597E-8
15:15:35.527	-20	-4.750464E-8
15:15:35.911	-20	-4.734903E-8
15:15:36.294	-20	-4.736777E-8
15:15:36.678	-25	-5.323203E-8
15:15:37.062	-25	-5.317735E-8
15:15:37.446	-25	-5.304251E-8
15:15:37.830	-25	-5.299578E-8
15:15:38.214	-25	-5.302837E-8
15:15:38.599	-30	-5.836239E-8
15:15:38.982	-30	-5.828642E-8
15:15:39.357	-30	-5.830287E-8
15:15:39.733	-30	-5.815291E-8
15:15:40.117	-30	-5.812708E-8
15:15:40.502	-35	-6.312242E-8
15:15:40.885	-35	-6.308758E-8
15:15:41.268	-35	-6.307279E-8
15:15:41.652	-35	-6.295269E-8
15:15:42.036	-35	-6.292872999999999E-8
15:15:42.421	-40	-6.763185E-8
15:15:42.804	-40	-6.754285E-8
15:15:43.187	-40	-6.757408000000001E-8
15:15:43.571	-40	-6.741055E-8
15:15:43.955	-40	-6.751163999999999E-8
15:15:44.340	-45	-7.179995E-8
15:15:44.723	-45	-7.160472E-8
15:15:45.107	-45	-7.160472E-8
15:15:45.490	-45	-7.176031E-8
15:15:45.874	-45	-7.173428E-8
15:15:46.259	-50	-7.578912E-8
15:15:46.643	-50	-7.575976E-8
15:15:47.026	-50	-7.566808E-8
15:15:47.409	-50	-7.571432E-8
15:15:47.793	-50	-7.567762E-8
15:15:48.177	-55	-7.973022E-8
15:15:48.561	-55	-7.970477999999999E-8
15:15:48.945	-55	-7.956315E-8
15:15:49.328	-55	-7.951657E-8
15:15:49.712	-55	-7.956444E-8
15:15:50.096	-60	-8.348203E-8
15:15:50.480	-60	-8.344251E-8
15:15:50.864	-60	-8.329915E-8
15:15:51.248	-60	-8.332497E-8
15:15:51.631	-60	-8.347416E-8
15:15:52.015	-65	-8.683279E-8
15:15:52.400	-65	-8.681562E-8
15:15:52.784	-65	-8.680387000000001E-8
15:15:53.167	-65	-8.681991999999999E-8
15:15:53.551	-65	-8.694499000000001E-8
15:15:53.935	-70	-9.03081E-8
15:15:54.319	-70	-9.017371E-8
15:15:54.703	-70	-9.037068E-8
15:15:55.086	-70	-9.044539E-8
15:15:55.470	-70	-9.025025E-8
15:15:55.855	-75	-9.368252E-8
15:15:56.238	-75	-9.36846E-8
15:15:56.622	-75	-9.347622E-8
15:15:57.006	-75	-9.353833000000001E-8
15:15:57.390	-75	-9.368534999999999E-8
15:15:57.774	-80	-9.666991E-8
15:15:58.157	-80	-9.66112E-8
15:15:58.541	-80	-9.67093E-8
15:15:58.925	-80	-9.681633E-8
15:15:59.309	-80	-9.661962E-8
15:15:59.692	-85	-9.953801E-8
15:16:00.075	-85	-9.965728E-8
15:16:00.460	-85	-9.979635E-8
15:16:00.844	-85	-9.958588E-8
15:16:01.228	-85	-9.97051E-8
15:16:01.611	-90	-1.02564E-7
15:16:01.994	-90	-1.025995E-7
15:16:02.379	-90	-1.024086E-7
15:16:02.763	-90	-1.025361E-7
15:16:03.147	-90	-1.026302E-7
15:16:03.531	-95	-1.050003E-7
15:16:03.914	-95	-1.04972E-7
15:16:04.298	-95	-1.051147E-7
15:16:04.682	-95	-1.051928E-7
15:16:05.065	-95	-1.049531E-7
15:16:05.450	-100	-1.075688E-7
15:16:05.825	-100	-1.074742E-7
15:16:06.193	-100	-1.073985E-7
15:16:06.570	-100	-1.07566E-7
15:16:06.953	-100	-1.075239E-7
15:16:07.336	-105	-1.094324E-7
15:16:07.720	-105	-1.094684E-7
15:16:08.104	-105	-1.09642E-7
15:16:08.488	-105	-1.094491E-7
15:16:08.871	-105	-1.095145E-7
15:16:09.255	-110	-1.114628E-7
15:16:09.639	-110	-1.114828E-7
15:16:10.023	-110	-1.112879E-7
15:16:10.407	-110	-1.113144E-7
15:16:10.790	-110	-1.11519E-7
15:16:11.175	-115	-1.129133E-7
15:16:11.559	-115	-1.128773E-7
15:16:11.942	-115	-1.130981E-7
15:16:12.326	-115	-1.130991E-7
15:16:12.710	-115	-1.129174E-7
15:16:13.095	-120	-1.145142E-7
15:16:13.478	-120	-1.144978E-7
15:16:13.862	-120	-1.143085E-7
15:16:14.245	-120	-1.14356E-7
15:16:14.629	-120	-1.145335E-7
15:16:15.013	-125	-1.156543E-7
15:16:15.397	-125	-1.15556E-7
15:16:15.781	-125	-1.156714E-7
15:16:16.165	-125	-1.157399E-7
15:16:16.549	-125	-1.155894E-7
15:16:16.932	-130	-1.166182E-7
15:16:17.316	-130	-1.168295E-7
15:16:17.700	-130	-1.167058E-7
15:16:18.084	-130	-1.166079E-7
15:16:18.467	-130	-1.168333E-7
15:16:18.851	-135	-1.177196E-7
15:16:19.234	-135	-1.175917E-7
15:16:19.619	-135	-1.176654E-7
15:16:20.003	-135	-1.177796E-7
15:16:20.386	-135	-1.175741E-7
15:16:20.770	-140	-1.18528E-7
15:16:21.154	-140	-1.18512E-7
15:16:21.538	-140	-1.18694E-7
15:16:21.922	-140	-1.18509E-7
15:16:22.306	-140	-1.185565E-7
15:16:22.690	-145	-1.194541E-7
15:16:23.073	-145	-1.194099E-7
15:16:23.457	-145	-1.193496E-7
15:16:23.832	-145	-1.194928E-7
15:16:24.209	-145	-1.194827E-7
15:16:24.593	-150	-1.201448E-7
15:16:24.976	-150	-1.202195E-7
15:16:25.360	-150	-1.203135E-7
15:16:25.744	-150	-1.201479E-7
15:16:26.128	-150	-1.2021E-7
15:16:26.512	-155	-1.20993E-7
15:16:26.896	-155	-1.208308E-7
15:16:27.279	-155	-1.210243E-7
15:16:27.663	-155	-1.210584E-7
15:16:28.047	-155	-1.209311E-7
15:16:28.431	-160	-1.21765E-7
15:16:28.815	-160	-1.218E-7
15:16:29.198	-160	-1.216291E-7
15:16:29.582	-160	-1.216565E-7
15:16:29.966	-160	-1.218473E-7
15:16:30.351	-165	-1.223676E-7
15:16:30.734	-165	-1.224139E-7
15:16:31.118	-165	-1.225722E-7
15:16:31.502	-165	-1.225559E-7
15:16:31.886	-165	-1.22483E-7
15:16:32.270	-170	-1.23385E-7
15:16:32.653	-170	-1.234401E-7
15:16:33.037	-170	-1.232698E-7
15:16:33.421	-170	-1.232478E-7
15:16:33.805	-170	-1.234436E-7
15:16:34.189	-175	-1.240104E-7
15:16:34.572	-175	-1.239671E-7
15:16:34.955	-175	-1.24074E-7
15:16:35.340	-175	-1.242169E-7
15:16:35.724	-175	-1.240325E-7
15:16:36.108	-180	-1.250616E-7
15:16:36.491	-180	-1.249952E-7
15:16:36.875	-180	-1.248609E-7
15:16:37.258	-180	-1.250512E-7
15:16:37.642	-180	-1.250711E-7
15:16:38.029	-185	-1.260085E-7
15:16:38.410	-185	-1.26044E-7
15:16:38.794	-185	-1.260782E-7
15:16:39.178	-185	-1.259702E-7
15:16:39.562	-185	-1.259299E-7
15:16:39.946	-190	-1.273728E-7
15:16:40.330	-190	-1.273206E-7
15:16:40.714	-190	-1.271657E-7
15:16:41.097	-190	-1.273353E-7
15:16:41.481	-190	-1.274256E-7
15:16:41.865	-195	-1.291894E-7
15:16:42.249	-195	-1.292644E-7
15:16:42.633	-195	-1.293709E-7
15:16:43.017	-195	-1.291912E-7
15:16:43.401	-195	-1.292885E-7
15:16:43.785	-200	-1.327285E-7
15:16:44.168	-200	-1.326371E-7
15:16:44.552	-200	-1.324999E-7
15:16:44.936	-200	-1.327674E-7
15:16:45.320	-200	-1.326689E-7
15:16:45.704	-205	-1.389355E-7
