Warm Set A Diode 27 post-annealing 
Measurement Started at 13:59:43.830 05/03/2018 by Lydia(Kostas) on epllt004.ph.bham.ac.uk.

Warm Set A Diode 27 post-annealing T = 60.1:59.5 T_box = 23.3
Atlas
BILPA

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4302379
C33   Mar 31 2015 09:32:39/A02  /J/M

Measurement Current Range: 1.05uA (Auto on)
Source Voltage Range:1.1kV (Auto off)
Compliance Level: 10uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)
13:59:43.830	0	-2.543325E-8
13:59:44.202	0	-2.52291E-8
13:59:44.569	0	-2.57538E-8
13:59:44.936	0	-2.562559E-8
13:59:45.304	0	-2.537373E-8
13:59:45.680	-5	-1.168321E-7
13:59:46.064	-5	-1.165902E-7
13:59:46.447	-5	-1.164161E-7
13:59:46.831	-5	-1.165754E-7
13:59:47.215	-5	-1.163186E-7
13:59:47.599	-10	-1.579341E-7
13:59:47.983	-10	-1.576223E-7
13:59:48.367	-10	-1.57758E-7
13:59:48.751	-10	-1.576062E-7
13:59:49.134	-10	-1.575947E-7
13:59:49.518	-15	-1.904734E-7
13:59:49.902	-15	-1.902164E-7
13:59:50.286	-15	-1.902446E-7
13:59:50.670	-15	-1.903612E-7
13:59:51.054	-15	-1.902019E-7
13:59:51.438	-20	-2.184284E-7
13:59:51.821	-20	-2.182412E-7
13:59:52.205	-20	-2.181559E-7
13:59:52.589	-20	-2.183582E-7
13:59:52.973	-20	-2.180865E-7
13:59:53.357	-25	-2.430715E-7
13:59:53.740	-25	-2.429018E-7
13:59:54.124	-25	-2.427769E-7
13:59:54.508	-25	-2.429917E-7
13:59:54.892	-25	-2.428296E-7
13:59:55.276	-30	-2.655802E-7
13:59:55.659	-30	-2.65424E-7
13:59:56.042	-30	-2.652793E-7
13:59:56.426	-30	-2.654837E-7
13:59:56.810	-30	-2.654319E-7
13:59:57.195	-35	-2.861202E-7
13:59:57.578	-35	-2.861676E-7
13:59:57.962	-35	-2.859455E-7
13:59:58.345	-35	-2.860538E-7
13:59:58.729	-35	-2.86192E-7
13:59:59.114	-40	-3.053583E-7
13:59:59.497	-40	-3.054989E-7
13:59:59.881	-40	-3.055715E-7
14:00:00.265	-40	-3.053325E-7
14:00:00.649	-40	-3.054886E-7
14:00:01.033	-45	-3.237531E-7
14:00:01.417	-45	-3.234942E-7
14:00:01.801	-45	-3.236954E-7
14:00:02.185	-45	-3.236828E-7
14:00:02.569	-45	-3.235467E-7
14:00:02.953	-50	-3.409778E-7
14:00:03.336	-50	-3.408618E-7
14:00:03.720	-50	-3.407354E-7
