Diode 38 IV curve
Measurement Started at 15:40:33.285 26/02/2018 by Lydia(Kostas) on epllt004.ph.bham.ac.uk.

Diode 38 IV curve T = 24.4C
Atlas
BILPA

KEITHLEY INSTRUMENTS INC.
MODEL 2410
1381830
C32   Oct  4 2010 14:20:11/A02  /J/K

Measurement Current Range: 1.05uA (Auto on)
Source Voltage Range:1.1kV (Auto off)
Compliance Level: 5uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)
15:40:33.285	0	9.340727E-11
15:40:33.658	0	1.932509E-10
15:40:34.034	0	1.845202E-11
15:40:34.410	0	-6.828762E-11
15:40:34.777	0	4.321652E-11
15:40:35.154	-5	-4.314793E-10
15:40:35.537	-5	-1.134385E-10
15:40:35.921	-5	-3.431623E-10
15:40:36.297	-5	-2.247031E-10
15:40:36.665	-5	-2.16889E-10
15:40:37.042	-10	-4.246165E-10
15:40:37.425	-10	-1.267521E-10
15:40:37.808	-10	-3.456015E-10
15:40:38.184	-10	-1.406863E-10
15:40:38.561	-10	-2.546388E-10
15:40:38.945	-15	-4.4959E-10
15:40:39.329	-15	-1.394044E-10
15:40:39.712	-15	-3.373736E-10
15:40:40.095	-15	-2.447151E-10
15:40:40.471	-15	-2.942075E-10
15:40:40.848	-20	-4.047284E-10
15:40:41.232	-20	-2.001017E-10
15:40:41.616	-20	-2.7188E-10
15:40:41.999	-20	-3.769008E-10
15:40:42.383	-20	-1.358487E-10
15:40:42.767	-25	-3.127721E-10
15:40:43.151	-25	-2.861447E-10
15:40:43.535	-25	-1.503202E-10
15:40:43.919	-25	-4.067127E-10
15:40:44.302	-25	-2.967295E-10
15:40:44.686	-30	-2.267702E-10
15:40:45.070	-30	-4.309421E-10
15:40:45.454	-30	-1.622691E-10
15:40:45.838	-30	-3.55442E-10
15:40:46.222	-30	-4.160149E-10
15:40:46.606	-35	-3.262101E-10
15:40:46.989	-35	-3.862463E-10
15:40:47.365	-35	-1.955539E-10
15:40:47.741	-35	-1.607394E-10
15:40:48.125	-35	-4.332576E-10
15:40:48.510	-40	-4.237885E-10
15:40:48.893	-40	-2.546796E-10
15:40:49.277	-40	-4.762991999999999E-10
