Cold Set A Diode 39 post-annealing 
Measurement Started at 11:01:31.220 05/03/2018 by Lydia(Kostas) on epllt004.ph.bham.ac.uk.

Cold Set A Diode 39 post-annealing T = 57.0:59.2 T_box = 23.1
Atlas
BILPA

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4302379
C33   Mar 31 2015 09:32:39/A02  /J/M

Measurement Current Range: 1.05uA (Auto on)
Source Voltage Range:1.1kV (Auto off)
Compliance Level: 10uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)
11:01:31.220	0	-2.978673E-8
11:01:31.592	0	-2.930082E-8
11:01:31.960	0	-2.916049E-8
11:01:32.328	0	-2.948069E-8
11:01:32.696	0	-2.938292E-8
11:01:33.072	-5	-1.398991E-7
11:01:33.455	-5	-1.395637E-7
11:01:33.839	-5	-1.396252E-7
11:01:34.223	-5	-1.397256E-7
11:01:34.607	-5	-1.39397E-7
11:01:34.991	-10	-1.891674E-7
11:01:35.374	-10	-1.890272E-7
11:01:35.758	-10	-1.887317E-7
11:01:36.142	-10	-1.888883E-7
11:01:36.526	-10	-1.888452E-7
11:01:36.910	-15	-2.282655E-7
11:01:37.293	-15	-2.282772E-7
11:01:37.677	-15	-2.280224E-7
11:01:38.061	-15	-2.281351E-7
11:01:38.445	-15	-2.281414E-7
11:01:38.829	-20	-2.62008E-7
11:01:39.212	-20	-2.619696E-7
11:01:39.596	-20	-2.618652E-7
11:01:39.979	-20	-2.617267E-7
11:01:40.364	-20	-2.618659E-7
11:01:40.749	-25	-2.915216E-7
11:01:41.131	-25	-2.915162E-7
11:01:41.515	-25	-2.916505E-7
11:01:41.899	-25	-2.915079E-7
11:01:42.283	-25	-2.915054E-7
11:01:42.668	-30	-3.187141E-7
11:01:43.050	-30	-3.185626E-7
11:01:43.426	-30	-3.185488E-7
11:01:43.794	-30	-3.187156E-7
11:01:44.171	-30	-3.185026E-7
11:01:44.555	-35	-3.436294E-7
11:01:44.938	-35	-3.435071E-7
11:01:45.321	-35	-3.433253E-7
11:01:45.697	-35	-3.433811E-7
11:01:46.074	-35	-3.435111E-7
11:01:46.458	-40	-3.666402E-7
11:01:46.841	-40	-3.667691E-7
11:01:47.225	-40	-3.666119E-7
11:01:47.608	-40	-3.666408E-7
11:01:47.992	-40	-3.667862E-7
11:01:48.377	-45	-3.883849E-7
11:01:48.761	-45	-3.884581E-7
11:01:49.145	-45	-3.88343E-7
11:01:49.528	-45	-3.883227E-7
11:01:49.912	-45	-3.884495E-7
11:01:50.297	-50	-4.087691E-7
11:01:50.680	-50	-4.089065E-7
11:01:51.064	-50	-4.089065E-7
11:01:51.447	-50	-4.087189E-7
11:01:51.831	-50	-4.089902E-7
11:01:52.215	-55	-4.278129E-7
11:01:52.598	-55	-4.27843E-7
11:01:52.983	-55	-4.279102E-7
11:01:53.366	-55	-4.278785E-7
11:01:53.750	-55	-4.28035E-7
11:01:54.134	-60	-4.456307E-7
11:01:54.517	-60	-4.457061E-7
11:01:54.901	-60	-4.456665E-7
11:01:55.285	-60	-4.455596E-7
11:01:55.669	-60	-4.455587E-7
11:01:56.053	-65	-4.61955E-7
11:01:56.436	-65	-4.619307E-7
11:01:56.820	-65	-4.61889E-7
11:01:57.204	-65	-4.617575E-7
11:01:57.588	-65	-4.62023E-7
11:01:57.973	-70	-4.764826E-7
11:01:58.356	-70	-4.765537E-7
11:01:58.740	-70	-4.763096E-7
11:01:59.124	-70	-4.766455E-7
11:01:59.508	-70	-4.76613E-7
11:01:59.892	-75	-4.897743E-7
11:02:00.276	-75	-4.895531E-7
11:02:00.659	-75	-4.896338E-7
11:02:01.042	-75	-4.897814E-7
11:02:01.426	-75	-4.896582E-7
11:02:01.811	-80	-5.012875E-7
11:02:02.194	-80	-5.010176000000001E-7
11:02:02.569	-80	-5.011192E-7
11:02:02.945	-80	-5.014691E-7
11:02:03.328	-80	-5.010835E-7
11:02:03.713	-85	-5.110871E-7
11:02:04.096	-85	-5.109198E-7
11:02:04.480	-85	-5.111378E-7
11:02:04.864	-85	-5.111038E-7
11:02:05.247	-85	-5.111485E-7
11:02:05.631	-90	-5.19543E-7
11:02:06.015	-90	-5.195048999999999E-7
11:02:06.399	-90	-5.196985E-7
11:02:06.783	-90	-5.195363E-7
11:02:07.167	-90	-5.198386E-7
11:02:07.552	-95	-5.268446E-7
11:02:07.935	-95	-5.270326E-7
11:02:08.318	-95	-5.269306E-7
11:02:08.702	-95	-5.269571E-7
11:02:09.086	-95	-5.271189E-7
11:02:09.471	-100	-5.330971E-7
11:02:09.854	-100	-5.332973E-7
11:02:10.237	-100	-5.33127E-7
11:02:10.621	-100	-5.332276E-7
11:02:10.997	-100	-5.33364E-7
11:02:11.374	-105	-5.386864E-7
11:02:11.757	-105	-5.386675E-7
11:02:12.141	-105	-5.385875E-7
11:02:12.524	-105	-5.388072E-7
11:02:12.908	-105	-5.387269E-7
11:02:13.293	-110	-5.435539E-7
11:02:13.676	-110	-5.433829E-7
11:02:14.059	-110	-5.435592E-7
11:02:14.443	-110	-5.436468E-7
11:02:14.827	-110	-5.435348E-7
11:02:15.211	-115	-5.480316000000001E-7
11:02:15.595	-115	-5.478886E-7
