Diode 43 IV curve
Measurement Started at 11:22:33.285 28/02/2018 by Lydia(Kostas) on epllt004.ph.bham.ac.uk.

Diode 43 IV curve T = 23.0
Atlas
BILPA

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4302379
C33   Mar 31 2015 09:32:39/A02  /J/M

Measurement Current Range: 1.05uA (Auto on)
Source Voltage Range:1.1kV (Auto off)
Compliance Level: 5uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)
11:22:33.285	0	8.933628E-11
11:22:33.653	0	-1.296411E-11
11:22:34.021	0	5.808944E-11
11:22:34.388	0	1.157215E-10
11:22:34.756	0	-4.234247E-11
11:22:35.132	-5	-1.319734E-10
11:22:35.516	-5	-9.97279E-11
11:22:35.899	-5	-1.322227E-10
11:22:36.276	-5	-1.26156E-10
11:22:36.652	-5	-8.019245999999999E-12
11:22:37.036	-10	3.378161E-11
11:22:37.419	-10	-1.781391E-10
11:22:37.803	-10	-2.365218E-10
11:22:38.179	-10	-2.759563E-10
11:22:38.555	-10	-1.946777E-10
11:22:38.940	-15	-1.378741E-10
11:22:39.323	-15	-1.125679E-10
11:22:39.706	-15	-1.735685E-10
11:22:40.082	-15	-2.110503E-10
11:22:40.459	-15	-1.598975E-10
11:22:40.843	-20	-1.263221E-10
11:22:41.227	-20	-2.551797E-10
11:22:41.610	-20	-2.733384E-10
11:22:41.994	-20	-3.023014E-10
11:22:42.378	-20	-3.324276E-10
11:22:42.762	-25	-2.65194E-10
11:22:43.146	-25	-2.441682E-10
11:22:43.529	-25	-2.116315E-10
11:22:43.904	-25	-2.518969E-10
11:22:44.281	-25	-3.012209E-10
11:22:44.665	-30	-3.269839E-10
11:22:45.049	-30	-3.415694E-10
11:22:45.433	-30	-3.599775E-10
11:22:45.816	-30	-3.362498E-10
11:22:46.200	-30	-3.42359E-10
11:22:46.584	-35	-3.439794E-10
11:22:46.968	-35	-3.355023E-10
11:22:47.352	-35	-2.700554E-10
11:22:47.736	-35	-2.750422E-10
11:22:48.119	-35	-2.14083E-10
11:22:48.503	-40	-2.731715E-10
11:22:48.879	-40	-1.999964E-10
11:22:49.255	-40	-3.319704E-10
11:22:49.639	-40	-2.93285E-10
11:22:50.023	-40	-3.15473E-10
11:22:50.407	-45	-3.166787E-10
11:22:50.790	-45	-2.516472E-10
11:22:51.174	-45	-9.760864E-11
11:22:51.558	-45	-1.222915E-10
11:22:51.942	-45	4.059615E-11
11:22:52.327	-50	-2.113406E-10
11:22:52.710	-50	-1.496336E-10
11:22:53.093	-50	-2.021569E-10
11:22:53.477	-50	-1.748981E-10
11:22:53.861	-50	-2.238897E-10
11:22:54.246	-55	-1.797184E-10
11:22:54.628	-55	-1.375E-10
11:22:55.011	-55	-1.475564E-10
11:22:55.395	-55	-2.607061E-10
11:22:55.779	-55	-3.352953E-10
11:22:56.162	-60	-4.010739E-10
11:22:56.546	-60	-4.17363E-10
11:22:56.929	-60	-3.854914E-10
11:22:57.304	-60	-4.022791E-10
11:22:57.673	-60	-3.249064E-10
11:22:58.049	-65	-3.546586E-10
11:22:58.432	-65	-2.992679E-10
11:22:58.808	-65	-3.083264E-10
11:22:59.184	-65	-2.558858E-10
11:22:59.568	-65	-3.007223E-10
11:22:59.951	-70	-2.928273E-10
11:23:00.327	-70	-2.747097E-10
11:23:00.703	-70	-3.089499E-10
11:23:01.086	-70	-3.562792E-10
11:23:01.462	-70	-3.473452E-10
11:23:01.839	-75	-3.465557E-10
11:23:02.222	-75	-1.995809E-10
11:23:02.605	-75	-3.710724E-10
11:23:02.989	-75	-2.845578E-10
11:23:03.373	-75	-1.466835E-10
11:23:03.757	-80	-2.7766E-10
11:23:04.140	-80	-1.584845E-10
11:23:04.524	-80	-1.711999E-10
11:23:04.908	-80	-1.579027E-10
11:23:05.292	-80	-2.491958E-10
11:23:05.675	-85	-3.629693E-10
11:23:06.059	-85	-2.358572E-10
