Cold Set B Diode 48 post-annealing 
Measurement Started at 13:00:16.619 05/03/2018 by Lydia(Kostas) on epllt004.ph.bham.ac.uk.

Cold Set B Diode 48 post-annealing T = 59.0:63.4 T_box = 24.3
Atlas
BILPA

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4302379
C33   Mar 31 2015 09:32:39/A02  /J/M

Measurement Current Range: 1.05uA (Auto on)
Source Voltage Range:1.1kV (Auto off)
Compliance Level: 10uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)
13:00:16.619	0	-2.462092E-9
13:00:16.994	0	-2.533273E-9
13:00:17.362	0	-2.455031E-9
13:00:17.730	0	-2.651694E-9
13:00:18.098	0	-2.52895E-9
13:00:18.474	-5	-1.065452E-8
13:00:18.858	-5	-1.058383E-8
13:00:19.242	-5	-1.038169E-8
13:00:19.625	-5	-1.058439E-8
13:00:20.008	-5	-1.050432E-8
13:00:20.393	-10	-1.465992E-8
13:00:20.777	-10	-1.451125E-8
13:00:21.160	-10	-1.449305E-8
13:00:21.543	-10	-1.462225E-8
13:00:21.927	-10	-1.43801E-8
13:00:22.311	-15	-1.771745E-8
13:00:22.695	-15	-1.750453E-8
13:00:23.079	-15	-1.770038E-8
13:00:23.463	-15	-1.76355E-8
13:00:23.846	-15	-1.760329E-8
13:00:24.230	-20	-2.045711E-8
13:00:24.614	-20	-2.024111E-8
13:00:24.998	-20	-2.031392E-8
13:00:25.382	-20	-2.030565E-8
13:00:25.766	-20	-2.024541E-8
13:00:26.150	-25	-2.270633E-8
13:00:26.533	-25	-2.248884E-8
13:00:26.917	-25	-2.266118E-8
13:00:27.301	-25	-2.261895E-8
13:00:27.685	-25	-2.252711E-8
13:00:28.070	-30	-2.473353E-8
13:00:28.453	-30	-2.471819E-8
13:00:28.837	-30	-2.489184E-8
13:00:29.221	-30	-2.469288E-8
13:00:29.604	-30	-2.48569E-8
13:00:29.989	-35	-2.673077E-8
13:00:30.372	-35	-2.676118E-8
13:00:30.756	-35	-2.69002E-8
13:00:31.140	-35	-2.677448E-8
13:00:31.524	-35	-2.68006E-8
13:00:31.909	-40	-2.866429E-8
13:00:32.292	-40	-2.877802E-8
13:00:32.675	-40	-2.862346E-8
13:00:33.059	-40	-2.868845E-8
13:00:33.443	-40	-2.869333E-8
13:00:33.828	-45	-3.041806E-8
13:00:34.211	-45	-3.054997E-8
13:00:34.595	-45	-3.025917E-8
13:00:34.979	-45	-3.054276E-8
13:00:35.363	-45	-3.028218E-8
13:00:35.747	-50	-3.21684E-8
13:00:36.131	-50	-3.193771E-8
13:00:36.513	-50	-3.215438E-8
13:00:36.898	-50	-3.207557E-8
13:00:37.282	-50	-3.200989E-8
13:00:37.666	-55	-3.369664E-8
13:00:38.050	-55	-3.359172E-8
13:00:38.433	-55	-3.378108E-8
13:00:38.817	-55	-3.356173E-8
13:00:39.200	-55	-3.376168E-8
13:00:39.584	-60	-3.521168E-8
13:00:39.968	-60	-3.504571E-8
13:00:40.353	-60	-3.517161E-8
13:00:40.736	-60	-3.521211E-8
13:00:41.119	-60	-3.518856E-8
13:00:41.503	-65	-3.656498E-8
13:00:41.887	-65	-3.664169E-8
13:00:42.271	-65	-3.654384E-8
13:00:42.655	-65	-3.654128E-8
13:00:43.039	-65	-3.663901E-8
13:00:43.423	-70	-3.783862E-8
13:00:43.806	-70	-3.8116E-8
13:00:44.190	-70	-3.789027E-8
13:00:44.574	-70	-3.808676E-8
13:00:44.958	-70	-3.796234E-8
13:00:45.343	-75	-3.92264E-8
13:00:45.726	-75	-3.941106E-8
13:00:46.109	-75	-3.922246E-8
13:00:46.493	-75	-3.939567E-8
13:00:46.877	-75	-3.916285E-8
13:00:47.262	-80	-4.063197E-8
13:00:47.645	-80	-4.053975E-8
13:00:48.029	-80	-4.06311E-8
13:00:48.413	-80	-4.047512E-8
